P1	P2	Distance_km	Group
D1	D10	7117.923842733265	D1__D10
D1	D12	2248.0037777253606	D1__D12
D1	D13	3249.9420087715257	D1__D13
D1	D14	6031.768682212617	D1__D14
D1	D3	6185.960779617411	D1__D3
D1	D4	1637.3358411324523	D1__D4
D1	D5	1714.3528724004216	D1__D5
D1	D7	6840.106305177469	D1__D7
D1	D9	2904.7698938295466	D1__D9
D10	D12	6922.975356556705	D10__D12
D10	D13	4667.4932010428865	D10__D13
D10	D14	2856.5752671962987	D10__D14
D10	D3	5320.718009043429	D10__D3
D10	D4	8129.613967773062	D10__D4
D10	D5	6258.943584076017	D10__D5
D10	D7	1776.0147503124915	D10__D7
D10	D9	7776.8001780315935	D10__D9
D12	D13	4616.57784416443	D12__D13
D12	D14	6941.836958110359	D12__D14
D12	D3	7880.197319457593	D12__D3
D12	D4	1594.01361527392	D12__D4
D12	D5	955.0623903175224	D12__D5
D12	D7	7337.514891003461	D12__D7
D12	D9	998.3310778055194	D12__D9
D13	D14	2823.9421589134317	D13__D14
D13	D3	3283.146634976809	D13__D3
D13	D4	4820.3810799673165	D13__D4
D13	D5	3663.6625953880866	D13__D5
D13	D7	3805.4806081577244	D13__D7
D13	D9	5584.3473891701815	D13__D9
D14	D3	2485.863346632237	D14__D3
D14	D4	7520.401173113645	D14__D4
D14	D5	6022.92568397116	D14__D5
D14	D7	1244.540180123814	D14__D7
D14	D9	7938.663572257593	D14__D9
D3	D4	7823.14893004455	D3__D4
D3	D5	6933.72866472191	D3__D5
D3	D7	3589.2547864206235	D3__D7
D3	D9	8824.69139679641	D3__D9
D4	D5	1893.9016657114187	D4__D5
D4	D7	8187.234894629797	D4__D7
D4	D9	1645.5195142094378	D4__D9
D5	D7	6493.6386257094055	D5__D7
D5	D9	1942.8428061146512	D5__D9
D7	D9	8303.58722262394	D7__D9
