Group	PHI_W	PHI
D1__D10	0.873225093453787	0.5641583271820813
D1__D12	0.1828492871649434	0.3830465171402529
D1__D13	0.1647257441144169	0.2879729827229716
D1__D14	0.45383592828268116	0.5147040544752648
D1__D3	0.8913643632025471	0.8472375962509219
D1__D4	-0.07835500018384585	0.08476438963385378
D1__D5	0.4099002353010166	0.5157299417136196
D1__D7	0.04404334657364221	0.2691542139116666
D1__D9	-0.3011035207567002	0.40329671466758643
D10__D12	0.985425901423925	0.6834055569717052
D10__D13	0.32004215232858446	0.013866824631788894
D10__D14	0.12132723600371689	0.08695101054049782
D10__D3	0.15288800195595145	0.29236847628807433
D10__D4	0.8395444531711452	0.7216632574507461
D10__D5	0.17398185665329624	0.12557895435819397
D10__D7	0.5261657327553018	0.24164618283530998
D10__D9	0.8703658999206814	0.7584569096800671
D12__D13	0.4212246391968205	0.5001925362889046
D12__D14	0.5339721107524497	0.548217669282938
D12__D3	0.9535452706945127	0.9135904341891523
D12__D4	0.12782063919944547	0.17420378176294898
D12__D5	0.5528906518964438	0.5863987559626562
D12__D7	0.2813972488489591	0.38567937262978
D12__D9	0.21800025936973144	0.05284777752837455
D13__D14	0.09514433901257613	0.16462911484615445
D13__D3	0.5150161415989196	0.4761775589660681
D13__D4	0.40259671333716457	0.5250380968911836
D13__D5	0.019409824935745286	0.17306815617694765
D13__D7	-0.047191549617376066	0.161020520822953
D13__D9	0.09862140608987939	0.5830291628951877
D14__D3	0.16703477630235222	0.18870971101861858
D14__D4	0.5935927710269847	0.6253389808140126
D14__D5	0.03838209491885092	0.19533599102642593
D14__D7	0.24194763734126354	0.3434943240313115
D14__D9	0.4323368404986429	0.5936579631491573
D3__D4	0.8479375165008627	0.8695499804172399
D3__D5	0.3133056674886226	0.4084615587250427
D3__D7	0.6496841075645999	0.662551594545678
D3__D9	0.8931940059467939	0.9188393961825136
D4__D5	0.6170756223631897	0.6601126137818923
D4__D7	0.291950662870785	0.4199229358436529
D4__D9	-0.12453836717353399	0.13042476170610595
D5__D7	0.15509770020673233	0.31315944981736554
D5__D9	0.3791006723222452	0.6542080735992188
D7__D9	0.04165751313698558	0.4541869152203868
