Model	Iteration	Variable	Type	Subsampled	MinObs	decay	logLoss	logLossSD	AUC	Accuracy	AccuracySD	Kappa
m1	1	Habitat	Median	14	2	0	4.82935239200571	4.55798723918809	0.886884920634921	0.8	0.187082869338697	0.738866396761134
m1	1	Habitat	Median	14	2	1e-04	1.23299078630786	1.04937836538328	0.934107142857143	0.8	0.187082869338697	0.731868131868132
m1	1	Habitat	Median	14	2	0.1	0.719415230574696	0.360561480818202	0.929821428571429	0.8	0.187082869338697	0.731868131868132
m2	1	Habitat	Median	14	2	0	1.62316091002613	1.80672001998657	0.937587827205474	0.753044375644995	0.0838120898491856	0.647614956462112
m2	1	Habitat	Median	14	2	1e-04	0.668053265238204	0.402327109638326	0.941230684348331	0.753044375644995	0.0838120898491856	0.645616982578985
m2	1	Habitat	Median	14	2	0.1	0.637430309096149	0.127475598743525	0.935653161381103	0.707877536979704	0.0871723914224019	0.563707065627366
m3	1	Habitat	Median	14	2	0	0.782210611279968	0.109892798020441	0.843876394030806	0.656484348125215	0.0843244545462748	0.470534487425965
m3	1	Habitat	Median	14	2	1e-04	0.782858124196462	0.109894232272354	0.843876394030806	0.656484348125215	0.0843244545462748	0.470534487425965
m3	1	Habitat	Median	14	2	0.1	0.918583594179183	0.0993144236135017	0.835218884873297	0.656484348125215	0.0843244545462748	0.470534487425965
m4	1	Habitat	Median	14	2	0	2.57581648574141	1.62323969268102	0.883723643594967	0.688716890264878	0.0282545108552735	0.541675253412509
m4	1	Habitat	Median	14	2	1e-04	0.992911049869198	0.368828916598702	0.89548834947732	0.65531475748194	0.046324820820358	0.484961036556189
m4	1	Habitat	Median	14	2	0.1	0.809668403915208	0.114524119580194	0.888731756397198	0.65531475748194	0.046324820820358	0.475327473646181
m5	1	Habitat	Median	14	2	0	1.44150430988424	0.662133604911454	0.784803693898121	0.49	0.106363286847142	0.198146544332815
m5	1	Habitat	Median	14	2	1e-04	1.11994496399839	0.252652245411745	0.784803693898121	0.501111111111111	0.110490771186205	0.214040032995182
m5	1	Habitat	Median	14	2	0.1	1.06915660058248	0.15495810540479	0.776053361628052	0.523986928104575	0.10171108607074	0.239325163910388
m6	1	Habitat	Median	14	2	0	1.67687226393827	1.66502634796628	0.820887686659745	0.611386308909529	0.0285858401440922	0.43264823504639
m6	1	Habitat	Median	14	2	1e-04	1.0219773499783	0.609501502241977	0.851995402473344	0.623151014791882	0.0287798467590381	0.445981568379724
m6	1	Habitat	Median	14	2	0.1	0.841867750086437	0.139154099329837	0.862194002892532	0.633677330581355	0.0148000793277743	0.457438312961712
m7	1	Habitat	Median	14	2	0	0.988193213684648	0.735499727862921	0.888613016068898	0.667368421052632	0.0540217072238892	0.501019246485329
m7	1	Habitat	Median	14	2	1e-04	0.731460248378413	0.189734132475885	0.888613016068898	0.689659442724458	0.0713142287006953	0.524373238633238
m7	1	Habitat	Median	14	2	0.1	0.773405307482933	0.106773927699082	0.892854774310657	0.689659442724458	0.0713142287006953	0.524373238633238
m1	1	Gens	Median	3.5	2	0	6.39863039863881	7.71199391084309	0.879430014430014	0.574285714285714	0.23259357953871	0.528166837671388
m1	1	Gens	Median	3.5	2	1e-04	1.40790861875636	1.29564581747477	0.959430014430014	0.546190476190476	0.310454644300581	0.508532985368971
m1	1	Gens	Median	3.5	2	0.1	1.04733219577723	0.509422253812657	0.969430014430014	0.586190476190476	0.223076306560676	0.550199652035637
m2	1	Gens	Median	3.5	2	0	1.36946722354063	1.75231469634154	0.966933720590841	0.853856209150327	0.0374738435271183	0.826270278239786
m2	1	Gens	Median	3.5	2	1e-04	0.460422494611614	0.395377695366152	0.980176892859749	0.853856209150327	0.0374738435271183	0.825897709524601
m2	1	Gens	Median	3.5	2	0.1	0.536100986388291	0.108668037964792	0.981784035716892	0.853856209150327	0.0374738435271183	0.825897709524601
m3	1	Gens	Median	3.5	2	0	1.47972584529659	1.06311485734338	0.925708183672193	0.645882352941176	0.0736188997932367	0.573974450970929
m3	1	Gens	Median	3.5	2	1e-04	0.932122286662699	0.309300249918313	0.925708183672193	0.635882352941176	0.0762679567727892	0.562419407421331
m3	1	Gens	Median	3.5	2	0.1	1.08003949780226	0.128744873758071	0.91871038614808	0.611437908496732	0.0533771286287665	0.533018897203302
