Model	Iteration	Variable	Type	Subsampled	MinObs	decay	logLoss	logLossSD	AUC	Accuracy	AccuracySD	Kappa
m1	1	Habitat	Median	11	2	0	5.59186871200796	6.47512251734988	0.891289682539683	0.796111111111111	0.164166431659918	0.737783187458334
m1	1	Habitat	Median	11	2	1e-04	1.43150819942701	1.66015575388868	0.938789682539683	0.841111111111111	0.189606480068458	0.79574025974026
m1	1	Habitat	Median	11	2	0.1	0.74372664402984	0.60275892845094	0.938789682539683	0.841111111111111	0.189606480068458	0.79574025974026
m2	1	Habitat	Median	11	2	0	1.67458189419721	1.12839041360987	0.916206618844119	0.705	0.15705072605867	0.58056572233239
m2	1	Habitat	Median	11	2	1e-04	0.688077809053065	0.296777418019576	0.920021433658934	0.719285714285714	0.13551350540589	0.590029735767619
m2	1	Habitat	Median	11	2	0.1	0.657008804729007	0.122247476030557	0.919576989214489	0.72202380952381	0.0877244448901931	0.582124459533084
m3	1	Habitat	Median	11	2	0	0.749726819668535	0.210053608301789	0.876169436581937	0.666631652661064	0.142221119620812	0.502486947973887
m3	1	Habitat	Median	11	2	1e-04	0.7505106728201	0.209917619797341	0.876169436581937	0.679131652661064	0.147174157787769	0.522186647673587
m3	1	Habitat	Median	11	2	0.1	0.922403020429065	0.176327036894596	0.846525497187997	0.679131652661064	0.147174157787769	0.518232979719919
m4	1	Habitat	Median	11	2	0	2.399604139694	2.510210641341	0.876462363562364	0.672738095238095	0.143236351860591	0.519615117411149
m4	1	Habitat	Median	11	2	1e-04	1.15873971978134	0.851878327829055	0.886003674103674	0.657619047619048	0.12365374815632	0.501742498928191
m4	1	Habitat	Median	11	2	0.1	0.912336517430117	0.274044669432671	0.874143068043068	0.657619047619048	0.12365374815632	0.489935833081431
m5	1	Habitat	Median	11	2	0	2.68914848414085	2.35654140727351	0.696301587764088	0.476736694677871	0.0707058996088708	0.194749197422994
m5	1	Habitat	Median	11	2	1e-04	1.44671979018308	0.651372917855342	0.733444444906945	0.490070028011204	0.0745154046356532	0.222515135342034
m5	1	Habitat	Median	11	2	0.1	1.1649155855974	0.159442162804553	0.7856727998853	0.504355742296919	0.0973581838172139	0.221881149153876
m6	1	Habitat	Median	11	2	0	1.71815176349234	1.38950800849341	0.895726113701114	0.65702380952381	0.139891337000546	0.50857134417542
m6	1	Habitat	Median	11	2	1e-04	0.997498263481329	0.461529062226105	0.883794896769897	0.659642857142857	0.100759235156822	0.502111680502959
m6	1	Habitat	Median	11	2	0.1	0.80635141820325	0.195023488738717	0.885015435490435	0.647142857142857	0.118192164524989	0.486891805386711
m7	1	Habitat	Median	11	2	0	1.15008613665668	1.03670908093501	0.880766618566619	0.658333333333333	0.0506896877524851	0.507915183762762
m7	1	Habitat	Median	11	2	1e-04	0.807200454220355	0.287283663509739	0.880766618566619	0.645833333333333	0.0662748905024453	0.48352737766581
m7	1	Habitat	Median	11	2	0.1	0.819042394485911	0.145032244392043	0.886540355940356	0.6725	0.0966271470941555	0.515612939163137
m1	1	Gens	Median	4	2	0	1.64644183801049	3.04563959485248	0.972222222222222	0.752222222222222	0.09040375825248	0.712292828846309
m1	1	Gens	Median	4	2	1e-04	0.324139041039858	0.139415814070681	0.987222222222222	0.69	0.101105005920687	0.639673781227262
m1	1	Gens	Median	4	2	0.1	0.617637263787273	0.105177879405068	0.980873015873016	0.69	0.101105005920687	0.639673781227262
m2	1	Gens	Median	4	2	0	0.630031923516454	0.986780003876625	0.970521680700252	0.868095238095238	0.00740587191190277	0.835676439195217
m2	1	Gens	Median	4	2	1e-04	0.287307384977149	0.197812888822985	0.982117228010085	0.868095238095238	0.00740587191190277	0.83537480139623
m2	1	Gens	Median	4	2	0.1	0.392680968530691	0.0325613312453562	0.984158044336616	0.868095238095238	0.00740587191190277	0.83537480139623
m3	1	Gens	Median	4	2	0	0.534246983755369	0.0395393393369333	0.933097276400848	0.76297619047619	0.0349835967392767	0.695122536043772
m3	1	Gens	Median	4	2	1e-04	0.535217893266908	0.0393560257192969	0.933097276400848	0.748690476190476	0.0378442251096473	0.677173818095054
m3	1	Gens	Median	4	2	0.1	0.768425494107078	0.0528289790224861	0.918763462067034	0.705952380952381	0.113688917964889	0.624519464390489
m4	1	Gens	Median	4	2	0	0.758856675837469	0.93476513205733	0.970465833769405	0.843095238095238	0.0705019258031305	0.803393625164578
m4	1	Gens	Median	4	2	1e-04	0.408291032148434	0.266175395181016	0.976391759695331	0.843928571428571	0.0679984952147761	0.804146280077455
m4	1	Gens	Median	4	2	0.1	0.517206907767484	0.129611529776524	0.97229631809989	0.843928571428571	0.0679984952147761	0.80323693083051
m5	1	Gens	Median	4	2	0	1.35188149422888	0.994109970202693	0.88719387755102	0.646071428571429	0.0622039473486983	0.544711416928377
m5	1	Gens	Median	4	2	1e-04	0.976475841030501	0.417318055382701	0.881955782312925	0.619404761904762	0.0400927213326169	0.511950431790138
m5	1	Gens	Median	4	2	0.1	0.972081893667947	0.161722505378347	0.880051020408163	0.646071428571429	0.0622039473486983	0.543742893925956
m6	1	Gens	Median	4	2	0	1.36888341481341	1.64838759981839	0.957312449455307	0.829761904761905	0.0533991940285852	0.786007876143719
m6	1	Gens	Median	4	2	1e-04	0.667740677145575	0.546495785475441	0.944052376195233	0.816309523809524	0.0510372846237798	0.768048065320795
m6	1	Gens	Median	4	2	0.1	0.589641361066426	0.188954843638895	0.939052376195233	0.841309523809524	0.0741060671178377	0.799116026485843
m7	1	Gens	Median	4	2	0	1.30290533056644	1.16563434825017	0.924283428212	0.777142857142857	0.0535740740087563	0.716842578248354
m7	1	Gens	Median	4	2	1e-04	0.65967888718595	0.283355566361592	0.936135280063851	0.777142857142857	0.0535740740087563	0.716842578248354
m7	1	Gens	Median	4	2	0.1	0.725919725370162	0.0942589385198031	0.936135280063851	0.777142857142857	0.0535740740087563	0.716842578248354
m1	1	Egg	Median	5.5	2	0	1.29189641581914	2.18552034166441	0.957142857142857	0.79047619047619	0.0702280057321553	0.754623655913978
m1	1	Egg	Median	5.5	2	1e-04	0.564160393023137	0.547121832496561	0.96	0.761904761904762	0.120232201647168	0.721290322580645
m1	1	Egg	Median	5.5	2	0.1	0.638584935451978	0.17842928537592	0.96	0.761904761904762	0.120232201647168	0.721290322580645
m2	1	Egg	Median	5.5	2	0	0.877784417127185	1.01347041927535	0.956418685481185	0.895280112044818	0.0338718330961533	0.867384754663851
m2	1	Egg	Median	5.5	2	1e-04	0.29099896221164	0.186498292743742	0.980000659063159	0.907780112044818	0.0359832957897565	0.881683442560062
m2	1	Egg	Median	5.5	2	0.1	0.385280137369748	0.0399749973636611	0.981554660617161	0.907780112044818	0.0359832957897565	0.881683442560062
m3	1	Egg	Median	5.5	2	0	0.512332377721001	0.0544614316093964	0.922566370137799	0.779230769230769	0.0432243356833425	0.709330790940449
m3	1	Egg	Median	5.5	2	1e-04	0.513110691865334	0.0543425215351594	0.922566370137799	0.779230769230769	0.0432243356833425	0.709330790940449
m3	1	Egg	Median	5.5	2	0.1	0.712463982233549	0.0394594014259063	0.916010814582243	0.751346153846154	0.0411309246015681	0.67197035886729
m4	1	Egg	Median	5.5	2	0	1.58430827417267	2.07556910067482	0.958580673294959	0.804230769230769	0.0715509966271833	0.749566790624443
m4	1	Egg	Median	5.5	2	1e-04	0.599003556286099	0.48499074792536	0.965723530437816	0.819615384615385	0.0889685512218159	0.770531737978835
m4	1	Egg	Median	5.5	2	0.1	0.549958667480203	0.156805285234614	0.962628292342578	0.819615384615385	0.0889685512218159	0.769770268342437
m5	1	Egg	Median	5.5	2	0	1.37917966667162	0.822390762505154	0.879879584701013	0.684488795518207	0.0765006344174837	0.590440079722258
m5	1	Egg	Median	5.5	2	1e-04	1.00726144990346	0.283354200533522	0.872324639646068	0.687009803921569	0.0817912856370079	0.593607312966903
m5	1	Egg	Median	5.5	2	0.1	0.972331235927423	0.112090174836877	0.843611685933115	0.687009803921569	0.0817912856370079	0.593607312966903
m6	1	Egg	Median	5.5	2	0	0.915797066187968	1.4105424734262	0.965641447502661	0.855238095238095	0.089379316016175	0.812410044111382
