Model	Iteration	Variable	Type	Subsampled	MinObs	decay	logLoss	logLossSD	AUC	Accuracy	AccuracySD	Kappa
m1	1	Habitat	Median	12.5	2	0	5.09261180277229	4.3682584870097	0.894744668911336	0.664149184149184	0.161675337322534	0.592400890113166
m1	1	Habitat	Median	12.5	2	1e-04	1.55971283131441	0.952371745921331	0.912152076318743	0.684149184149184	0.12219433493782	0.616210413922689
m1	1	Habitat	Median	12.5	2	0.1	0.941876839261615	0.177905606104714	0.907152076318743	0.664685314685315	0.132845150105584	0.592342040264382
m2	1	Habitat	Median	12.5	2	0	2.73725696196629	0.707114308457879	0.863614517860942	0.701424501424501	0.0899220402801147	0.579226238752762
m2	1	Habitat	Median	12.5	2	1e-04	1.27081324591251	0.329622423050011	0.846618427090538	0.717094017094017	0.0939393618053613	0.601548439839144
m2	1	Habitat	Median	12.5	2	0.1	0.902348906380748	0.280915492709619	0.866182693900514	0.709116809116809	0.121915186903789	0.585150120797582
m3	1	Habitat	Median	12.5	2	0	1.61501636622511	0.947059021334918	0.771926552280049	0.655920227920228	0.0327858118231615	0.470660384937527
m3	1	Habitat	Median	12.5	2	1e-04	1.23221496145698	0.357482052095153	0.770685811539308	0.655920227920228	0.0327858118231615	0.470660384937527
m3	1	Habitat	Median	12.5	2	0.1	1.15320675766757	0.105504176778467	0.759792702225685	0.655920227920228	0.0327858118231615	0.470660384937527
m4	1	Habitat	Median	12.5	2	0	2.21175676939284	0.649329532967154	0.80131389927557	0.671794871794872	0.0577634888516349	0.514456505951164
m4	1	Habitat	Median	12.5	2	1e-04	1.15750352429839	0.227378505910752	0.818456996918667	0.67948717948718	0.0790309487560125	0.534769006273656
m4	1	Habitat	Median	12.5	2	0.1	0.997569503706955	0.120690655009914	0.799951893443026	0.664387464387464	0.0816364851650275	0.501830833970253
m5	1	Habitat	Median	12.5	2	0	1.45736614398117	0.636181679678724	0.769936063991628	0.581980056980057	0.0798739238467985	0.354475597455429
m5	1	Habitat	Median	12.5	2	1e-04	1.18351287103331	0.260794446345361	0.77169044995654	0.581980056980057	0.0798739238467985	0.357226021903646
m5	1	Habitat	Median	12.5	2	0.1	1.1508472781416	0.139325722625677	0.737535131590695	0.581980056980057	0.0798739238467985	0.357226021903646
m6	1	Habitat	Median	12.5	2	0	1.66693606544881	1.01284611509091	0.877346886265036	0.723133903133903	0.0830088161066776	0.605505089549138
m6	1	Habitat	Median	12.5	2	1e-04	0.979180414917876	0.311284400457095	0.877399862041696	0.723133903133903	0.0830088161066776	0.605505089549138
m6	1	Habitat	Median	12.5	2	0.1	0.838173350558861	0.142817805841939	0.907741346807162	0.723133903133903	0.0830088161066776	0.605505089549138
m7	1	Habitat	Median	12.5	2	0	1.40626247595324	0.784669426366265	0.866551923120876	0.676980056980057	0.116594271183693	0.544713283462141
m7	1	Habitat	Median	12.5	2	1e-04	0.975609792087147	0.298410634869033	0.862915559484512	0.684980056980057	0.111241282504542	0.552233463513647
m7	1	Habitat	Median	12.5	2	0.1	0.895706852705611	0.184893284870367	0.884224835865938	0.684980056980057	0.111241282504542	0.550954865538946
m1	1	Gens	Median	3	2	0	4.85137809481121	3.34484380499524	0.971317016317016	0.583682983682984	0.184243948942853	0.551261019264605
m1	1	Gens	Median	3	2	1e-04	1.28168876314173	0.704263057785114	0.981620046620047	0.617249417249417	0.199240370372662	0.585445032469263
m1	1	Gens	Median	3	2	0.1	1.03932221924275	0.242946375082403	0.981620046620047	0.55011655011655	0.180191531123325	0.51608538783498
m2	1	Gens	Median	3	2	0	3.40522071843285	1.69730572223364	0.924702723393849	0.792659340659341	0.0404615324924935	0.736739445696129
m2	1	Gens	Median	3	2	1e-04	1.0839389540202	0.271374012851729	0.931523785320303	0.777824175824176	0.0367395030999719	0.719002006395497
m2	1	Gens	Median	3	2	0.1	0.82853068002564	0.112627514957625	0.93586642577164	0.784967032967033	0.0488215428920086	0.727752006395497
m3	1	Gens	Median	3	2	0	2.58535643062516	1.78797078535733	0.866122522460954	0.658344322344322	0.0582619035816279	0.549193663942355
m3	1	Gens	Median	3	2	1e-04	1.35115612628734	0.527090424000327	0.861030750035848	0.64381684981685	0.057034239777264	0.530176261756143
m3	1	Gens	Median	3	2	0.1	1.27048803624485	0.221537845703412	0.858055291446355	0.658344322344322	0.0582619035816279	0.549149866594125
m4	1	Gens	Median	3	2	0	2.76916061578614	1.56588951712667	0.90757033527984	0.745162085623855	0.0966219298195908	0.675374146583307
m4	1	Gens	Median	3	2	1e-04	1.16266993708986	0.468911703853277	0.920689334916398	0.743955577766672	0.0639456012525402	0.673063816776036
m4	1	Gens	Median	3	2	0.1	0.971085085194432	0.205074927411407	0.927378221311806	0.721651618635127	0.0767523686380251	0.644886709843328
m5	1	Gens	Median	3	2	0	1.76815328183676	0.700114877945264	0.826676375326996	0.568380783966991	0.065762763732601	0.429240721673219
m5	1	Gens	Median	3	2	1e-04	1.38727591995517	0.324971379064835	0.830012325091518	0.592073091659299	0.0736338935550997	0.46018433870488
m5	1	Gens	Median	3	2	0.1	1.39456771646582	0.179160832224309	0.827072931152124	0.584073091659299	0.0691622159366639	0.437902602476606
m6	1	Gens	Median	3	2	0	1.87830086323607	1.24482504495615	0.911487998073261	0.718802829354554	0.0590508842997119	0.644064068904076
m6	1	Gens	Median	3	2	1e-04	1.06817277744362	0.450765259283576	0.900507237620778	0.718161803713528	0.0731424332864693	0.643376093320737
m6	1	Gens	Median	3	2	0.1	0.942745007545758	0.187530179934502	0.902334332094931	0.733617644169368	0.0515114709372969	0.66436333261603
m7	1	Gens	Median	3	2	0	2.12812656625501	0.868524638295416	0.88481548395244	0.670712250712251	0.0643983048131795	0.582491038857466
