Model	Iteration	Variable	Type	Subsampled	MinObs	decay	logLoss	logLossSD	AUC	Accuracy	AccuracySD	Kappa
m1	1	Habitat	Median	14	2	0	2.9999784780106	2.75227377156614	0.93077380952381	0.743636363636364	0.0600963413855943	0.665780660811633
m1	1	Habitat	Median	14	2	1e-04	0.939228179389034	0.545680221150218	0.929345238095238	0.725454545454545	0.0433131972711695	0.640850041015148
m1	1	Habitat	Median	14	2	0.1	0.727947916209175	0.106050256377709	0.932202380952381	0.705454545454545	0.0121967344227262	0.61595672664815
m2	1	Habitat	Median	14	2	0	1.56626685836237	1.01146025601258	0.931984710550887	0.721895424836601	0.0385011149673808	0.587103729338963
m2	1	Habitat	Median	14	2	1e-04	0.620130405991607	0.25954303061368	0.936706932773109	0.755228758169935	0.0298711402290337	0.632254114690399
m2	1	Habitat	Median	14	2	0.1	0.639289620660351	0.0533756319694739	0.921805343349461	0.721241830065359	0.0180331760278711	0.575119851153778
m3	1	Habitat	Median	14	2	0	0.776054888446518	0.0739715863048137	0.862789460947549	0.689955280357757	0.035317478929435	0.524121341879165
m3	1	Habitat	Median	14	2	1e-04	0.776644449483848	0.0739951656296322	0.862789460947549	0.689955280357757	0.035317478929435	0.524121341879165
m3	1	Habitat	Median	14	2	0.1	0.915140202369326	0.0744287600041522	0.84753667206976	0.689955280357757	0.035317478929435	0.524121341879165
m4	1	Habitat	Median	14	2	0	1.98365189838767	1.38794357893186	0.898106842095813	0.674475404196766	0.116205381386944	0.534681024806828
m4	1	Habitat	Median	14	2	1e-04	0.876204392934525	0.320263934083569	0.909289381778352	0.675713794289646	0.12402350759807	0.527690201123002
m4	1	Habitat	Median	14	2	0.1	0.799736178998543	0.121360188849729	0.906066604555575	0.676952184382525	0.0908612258781145	0.511258106537056
m5	1	Habitat	Median	14	2	0	1.45224535468519	0.761728636816136	0.793483928244958	0.529674922600619	0.11836470461746	0.259750316258478
m5	1	Habitat	Median	14	2	1e-04	1.12466683447352	0.296053202814831	0.78747679812018	0.517910216718266	0.106064966635047	0.247984665706444
m5	1	Habitat	Median	14	2	0.1	1.07193439947465	0.155334140959749	0.786157512830307	0.527910216718266	0.0869023689512375	0.259008287753688
m6	1	Habitat	Median	14	2	0	1.32094988099721	0.943369959941153	0.867706942567237	0.591468868249054	0.115884026656906	0.412028581910463
m6	1	Habitat	Median	14	2	1e-04	0.927052668743789	0.359853776210751	0.865312462047756	0.613106295149639	0.101048613396673	0.434930552301393
m6	1	Habitat	Median	14	2	0.1	0.823355837647756	0.138761701287411	0.876740409100703	0.613106295149639	0.101048613396673	0.434930552301393
m7	1	Habitat	Median	14	2	0	1.37077703553384	1.03127358437543	0.887798971045295	0.664434984520124	0.0870752063936667	0.516392363790325
m7	1	Habitat	Median	14	2	1e-04	0.844854424482512	0.310754022030099	0.886529129775453	0.643382352941177	0.085862090063089	0.472151459007605
m7	1	Habitat	Median	14	2	0.1	0.792135742653159	0.105703162448244	0.890901424147748	0.666911764705882	0.0586200678166825	0.489475138278187
m1	1	Gens	Median	3.5	2	0	7.6788259027822	7.9501778018806	0.945396825396825	0.571746031746032	0.231904707582319	0.538601142037409
m1	1	Gens	Median	3.5	2	1e-04	1.49367590746743	1.29458118725834	0.970079365079365	0.618968253968254	0.242434077503548	0.590377320351781
m1	1	Gens	Median	3.5	2	0.1	1.02092694789542	0.395848216158475	0.983650793650794	0.641190476190476	0.264700149339241	0.615034854598356
m2	1	Gens	Median	3.5	2	0	1.16179800768756	1.41217603151499	0.977608228150991	0.839175579322638	0.0690312901851629	0.810976116582519
m2	1	Gens	Median	3.5	2	1e-04	0.434609325895687	0.34492774429805	0.980762968147837	0.8500311942959	0.0889756794415595	0.824094650665663
m2	1	Gens	Median	3.5	2	0.1	0.526590180938333	0.131400088391966	0.982021194570537	0.8700311942959	0.0491437871687982	0.846338094680977
m3	1	Gens	Median	3.5	2	0	1.4552673674528	0.973062767732633	0.913896130421866	0.633031475748194	0.0614923397114674	0.557380636153029
m3	1	Gens	Median	3.5	2	1e-04	0.938405246516917	0.267645308561547	0.918896130421866	0.644796181630547	0.0377585858529403	0.570806884701229
m3	1	Gens	Median	3.5	2	0.1	1.07930889678122	0.0946062901625467	0.912750297088532	0.576671826625387	0.0629084531151351	0.498003646240782
m4	1	Gens	Median	3.5	2	0	1.86189022347833	0.852184334573759	0.952283116726325	0.732763157894737	0.0407799224810731	0.684295163236221
m4	1	Gens	Median	3.5	2	1e-04	0.669793886966123	0.205251816862064	0.973571438540963	0.732763157894737	0.0407799224810731	0.682843784426352
m4	1	Gens	Median	3.5	2	0.1	0.759738677160795	0.0841210469007184	0.968070848122609	0.722763157894737	0.0546084336428976	0.671801096659862
m5	1	Gens	Median	3.5	2	0	1.84296480779777	1.16368505486392	0.864969301567599	0.488854489164087	0.0642405535386829	0.383062903752559
m5	1	Gens	Median	3.5	2	1e-04	1.35393243149923	0.514086330692425	0.863832937931235	0.532910216718266	0.110470778078576	0.435506986182819
m5	1	Gens	Median	3.5	2	0.1	1.37386523782625	0.259068870326075	0.853605665203962	0.532910216718266	0.110470778078576	0.434857682380784
m6	1	Gens	Median	3.5	2	0	1.36500359541557	0.896837011077132	0.951476029109349	0.736015651874785	0.0655831218816908	0.687787617924489
m6	1	Gens	Median	3.5	2	1e-04	0.762753869354271	0.309638687966334	0.955564568708725	0.716351909184727	0.091081139645555	0.665262763148139
m6	1	Gens	Median	3.5	2	0.1	0.798979961277337	0.156844269287835	0.945535080867705	0.737463020295838	0.0780790421102408	0.689711901370511
m7	1	Gens	Median	3.5	2	0	1.23243735252342	0.765575910177572	0.941896108342122	0.698851909184727	0.0317988997602884	0.638851628737171
m7	1	Gens	Median	3.5	2	1e-04	0.821950422013679	0.205097738749874	0.942784266236859	0.698851909184727	0.0317988997602884	0.638851628737171
m7	1	Gens	Median	3.5	2	0.1	0.992545036666552	0.0750000229438801	0.943836897815806	0.698851909184727	0.0317988997602884	0.638851628737171
m1	1	Habitat	Minimum	3	2	0	9.93927057847	14.4726451593519	0.979166666666667	0.683333333333333	0.409945795874961	0.633333333333333
m1	1	Habitat	Minimum	3	2	1e-04	2.31500451000118	3.63358832434293	0.979166666666667	0.683333333333333	0.409945795874961	0.633333333333333
m1	1	Habitat	Minimum	3	2	0.1	1.16749603796545	1.31868836958712	0.979166666666667	0.75	0.433012701892219	0.733333333333333
m2	1	Habitat	Minimum	3	2	0	1.49972616933035	0.959182093108332	0.94142976916874	0.755211558307534	0.0755265327704145	0.634337659589298
m2	1	Habitat	Minimum	3	2	1e-04	0.601595140511298	0.229570892523418	0.94592976916874	0.766322669418645	0.0621446761966008	0.645950814236508
m2	1	Habitat	Minimum	3	2	0.1	0.624020379065052	0.113311375006008	0.939536625547655	0.733574131406949	0.0699751199742307	0.598223858729596
m3	1	Habitat	Minimum	3	2	0	1.16886038377247	0.773096925332371	0.845223136544828	0.669453044375645	0.137377832392606	0.495119255981978
m3	1	Habitat	Minimum	3	2	1e-04	0.945675192916481	0.283424385082582	0.845223136544828	0.648400412796698	0.151927972544826	0.461488042248486
m3	1	Habitat	Minimum	3	2	0.1	0.955277933179526	0.10929411728274	0.846056469878161	0.648400412796698	0.151927972544826	0.461488042248486
m4	1	Habitat	Minimum	3	2	0	1.26123035643239	0.949356222422319	0.897573537165449	0.668249054007568	0.092549517241537	0.513259890407943
m4	1	Habitat	Minimum	3	2	1e-04	0.738985207658664	0.274127958110379	0.907939837531749	0.679428964568283	0.0711875272351212	0.520004065286592
m4	1	Habitat	Minimum	3	2	0.1	0.812417786486657	0.217437668510974	0.905840747895895	0.66890264877881	0.0909171776098446	0.497227202176836
m5	1	Habitat	Minimum	3	2	0	1.4952006131263	0.765745637572252	0.782427283908902	0.509287925696594	0.0453430913804236	0.236708463151757
m5	1	Habitat	Minimum	3	2	1e-04	1.13373170870004	0.271714235944331	0.770662578026549	0.509287925696594	0.0453430913804236	0.23331907357636
m5	1	Habitat	Minimum	3	2	0.1	1.07290389840085	0.0990034893867462	0.754714865608248	0.532163742690059	0.0405252994942235	0.251638736936587
m6	1	Habitat	Minimum	3	2	0	2.6199675573297	1.76526276379086	0.860364436561031	0.644992260061919	0.0862308460671997	0.498375772206824
m6	1	Habitat	Minimum	3	2	1e-04	1.27567340082513	0.487988325153549	0.842593968724774	0.604465944272446	0.0890376502800021	0.432127796892076
m6	1	Habitat	Minimum	3	2	0.1	0.857389396421318	0.111087886439018	0.861190763742621	0.593354833161335	0.106989807474109	0.410874224005184
m7	1	Habitat	Minimum	3	2	0	2.41389888688401	3.02518181917343	0.861331967052555	0.647850017199862	0.0983682972376278	0.468973464453367
m7	1	Habitat	Minimum	3	2	1e-04	1.23673342625015	1.10683811687879	0.859741057961646	0.647850017199862	0.0983682972376278	0.468973464453367
m7	1	Habitat	Minimum	3	2	0.1	0.86832020681713	0.282000927909017	0.877703601953602	0.671379428964568	0.111346069473743	0.497278492758395
m1	1	Gens	Minimum	2	2	0	2.32015286752235	2.85423407451454	0.980555555555556	0.764444444444444	0.109191755669432	0.717518569219851
m1	1	Gens	Minimum	2	2	1e-04	0.943835956808077	0.704793968857516	0.963888888888889	0.692222222222222	0.137862876944833	0.640113782226023
m1	1	Gens	Minimum	2	2	0.1	0.98124418311673	0.329143275955529	0.963888888888889	0.67	0.129314431608472	0.615456247979447
m2	1	Gens	Minimum	2	2	0	1.50302365193285	0.905732604988245	0.964886125312596	0.84408950182944	0.04636457118614	0.816429906800239
m2	1	Gens	Minimum	2	2	1e-04	0.466173766187919	0.220881697968141	0.976608347534818	0.854615817618914	0.0514924584247765	0.82842290508182
m2	1	Gens	Minimum	2	2	0.1	0.52951798811067	0.0390702452997629	0.979010056936528	0.854615817618914	0.0514924584247765	0.82842290508182
m3	1	Gens	Minimum	2	2	0	1.43406211790874	0.937652056906944	0.914468085234339	0.660364145658263	0.0636407846553869	0.587695996717809
m3	1	Gens	Minimum	2	2	1e-04	0.920327158567157	0.246872758833551	0.920301418567672	0.659628851540616	0.0519483840066194	0.587172490852392
m3	1	Gens	Minimum	2	2	0.1	1.06497924737615	0.136190910683622	0.915620788739984	0.627229225023343	0.0642971991843591	0.550324847534297
m4	1	Gens	Minimum	2	2	0	1.95542003150341	1.58978264783634	0.953794520998192	0.759969040247678	0.0869213724094871	0.716981320600104
m4	1	Gens	Minimum	2	2	1e-04	0.796420039286279	0.469452132868248	0.970046749162185	0.736635706914345	0.100128623371236	0.689488494187537
