Accuracy	Null	Model	Iteration	Variable	AIC	Type	Subsampled	MinObs
0.882352941176471	0.274509803921569	m1	1	Habitat	128.444151680734	Median	14	2
0.882352941176471	0.274509803921569	m2	1	Habitat	114.170244138952	Median	14	2
0.666666666666667	0.274509803921569	m3	1	Habitat	120.901542572954	Median	14	2
0.803921568627451	0.274509803921569	m4	1	Habitat	124.531868935628	Median	14	2
0.549019607843137	0.274509803921569	m5	1	Habitat	138.338749167421	Median	14	2
0.784313725490196	0.274509803921569	m6	1	Habitat	112.838326475469	Median	14	2
0.764705882352941	0.274509803921569	m7	1	Habitat	102.082722956461	Median	14	2
0.815789473684211	0.0789473684210526	m1	1	Gens	387.365649208961	Median	3.5	2
0.815789473684211	0.0789473684210526	m2	1	Gens	361.365649148544	Median	3.5	2
0.473684210526316	0.0789473684210526	m3	1	Gens	259.845438021188	Median	3.5	2
0.763157894736842	0.0789473684210526	m4	1	Gens	317.003819322979	Median	3.5	2
0.368421052631579	0.0789473684210526	m5	1	Gens	229.10159226394	Median	3.5	2
0.552631578947368	0.0789473684210526	m6	1	Gens	262.910621672434	Median	3.5	2
0.5	0.0789473684210526	m7	1	Gens	244.181891604881	Median	3.5	2
1	0.2	m1	1	Habitat	80.0001007710876	Minimum	3	2
1	0.2	m2	1	Habitat	64.0001246477816	Minimum	3	2
0.6	0.2	m3	1	Habitat	67.7750213268934	Minimum	3	2
0.933333333333333	0.2	m4	1	Habitat	76.498681196991	Minimum	3	2
0.533333333333333	0.2	m5	1	Habitat	58.6793911048629	Minimum	3	2
0.866666666666667	0.2	m6	1	Habitat	69.5451774811312	Minimum	3	2
0.866666666666667	0.2	m7	1	Habitat	55.2712699407711	Minimum	3	2
0.857142857142857	0.0714285714285714	m1	1	Gens	377.183347551758	Minimum	2	2
0.821428571428571	0.0714285714285714	m2	1	Gens	326.909439990135	Minimum	2	2
0.428571428571429	0.0714285714285714	m3	1	Gens	216.004660644297	Minimum	2	2
0.75	0.0714285714285714	m4	1	Gens	285.320198832714	Minimum	2	2
0.357142857142857	0.0714285714285714	m5	1	Gens	204.914100676245	Minimum	2	2
0.607142857142857	0.0714285714285714	m6	1	Gens	269.730957569331	Minimum	2	2
0.5	0.0714285714285714	m7	1	Gens	225.002227866051	Minimum	2	2
0.843137254901961	0.274509803921569	m1	1	Habitat	143.084254079568	Median	14	3
0.843137254901961	0.274509803921569	m2	1	Habitat	129.351499818182	Median	14	3
0.647058823529412	0.274509803921569	m3	1	Habitat	125.278454158233	Median	14	3
0.803921568627451	0.274509803921569	m4	1	Habitat	119.460028364342	Median	14	3
0.588235294117647	0.274509803921569	m5	1	Habitat	123.342415890482	Median	14	3
0.803921568627451	0.274509803921569	m6	1	Habitat	120.697279948839	Median	14	3
0.803921568627451	0.274509803921569	m7	1	Habitat	110.123322473439	Median	14	3
0.837209302325581	0.116279069767442	m1	1	Gens	291.13421369779	Median	5	3
0.837209302325581	0.116279069767442	m2	1	Gens	256.377160914693	Median	5	3
0.581395348837209	0.116279069767442	m3	1	Gens	195.934436689469	Median	5	3
