shifts	Egg	Tree
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
4	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
6	ECC10	m1
6	ECC10	m1
2	ECC10	m1
2	ECC10	m1
6	ECC10	m1
4	ECC10	m1
6	ECC10	m1
6	ECC10	m1
4	ECC10	m1
8	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
12	ECC10	m1
8	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
6	ECC10	m1
7	ECC10	m1
4	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
4	ECC10	m1
6	ECC10	m1
2	ECC10	m1
6	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
6	ECC10	m1
2	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
4	ECC10	m1
2	ECC10	m1
6	ECC10	m1
8	ECC10	m1
10	ECC10	m1
6	ECC10	m1
4	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
4	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
2	ECC10	m1
6	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
11	ECC10	m1
2	ECC10	m1
8	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
4	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	m1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
4	ECC10	a1
2	ECC10	a1
2	ECC10	a1
4	ECC10	a1
4	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
4	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
4	ECC1	m1
3	ECC1	m1
5	ECC1	m1
3	ECC1	m1
3	ECC1	m1
5	ECC1	m1
4	ECC1	m1
3	ECC1	m1
7	ECC1	m1
5	ECC1	m1
3	ECC1	m1
3	ECC1	m1
4	ECC1	m1
3	ECC1	m1
8	ECC1	m1
6	ECC1	m1
5	ECC1	m1
10	ECC1	m1
3	ECC1	m1
3	ECC1	m1
5	ECC1	m1
5	ECC1	m1
3	ECC1	m1
3	ECC1	m1
5	ECC1	m1
7	ECC1	m1
4	ECC1	m1
3	ECC1	m1
8	ECC1	m1
6	ECC1	m1
6	ECC1	m1
4	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
4	ECC1	m1
7	ECC1	m1
3	ECC1	m1
7	ECC1	m1
3	ECC1	m1
3	ECC1	m1
7	ECC1	m1
5	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
5	ECC1	m1
3	ECC1	m1
3	ECC1	m1
4	ECC1	m1
3	ECC1	m1
6	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
4	ECC1	m1
6	ECC1	m1
3	ECC1	m1
3	ECC1	m1
4	ECC1	m1
5	ECC1	m1
5	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
5	ECC1	m1
6	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
5	ECC1	m1
3	ECC1	m1
7	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
4	ECC1	m1
7	ECC1	m1
5	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
3	ECC1	m1
5	ECC1	m1
6	ECC1	m1
17	ECC1	a1
13	ECC1	a1
17	ECC1	a1
19	ECC1	a1
14	ECC1	a1
16	ECC1	a1
12	ECC1	a1
16	ECC1	a1
16	ECC1	a1
15	ECC1	a1
13	ECC1	a1
18	ECC1	a1
16	ECC1	a1
21	ECC1	a1
14	ECC1	a1
18	ECC1	a1
13	ECC1	a1
12	ECC1	a1
20	ECC1	a1
14	ECC1	a1
25	ECC1	a1
14	ECC1	a1
12	ECC1	a1
13	ECC1	a1
18	ECC1	a1
13	ECC1	a1
14	ECC1	a1
14	ECC1	a1
15	ECC1	a1
13	ECC1	a1
14	ECC1	a1
14	ECC1	a1
13	ECC1	a1
14	ECC1	a1
19	ECC1	a1
14	ECC1	a1
15	ECC1	a1
13	ECC1	a1
13	ECC1	a1
16	ECC1	a1
12	ECC1	a1
13	ECC1	a1
13	ECC1	a1
15	ECC1	a1
14	ECC1	a1
17	ECC1	a1
12	ECC1	a1
14	ECC1	a1
12	ECC1	a1
16	ECC1	a1
21	ECC1	a1
15	ECC1	a1
15	ECC1	a1
13	ECC1	a1
16	ECC1	a1
14	ECC1	a1
15	ECC1	a1
14	ECC1	a1
17	ECC1	a1
20	ECC1	a1
12	ECC1	a1
16	ECC1	a1
15	ECC1	a1
22	ECC1	a1
12	ECC1	a1
19	ECC1	a1
20	ECC1	a1
14	ECC1	a1
14	ECC1	a1
15	ECC1	a1
12	ECC1	a1
16	ECC1	a1
14	ECC1	a1
20	ECC1	a1
16	ECC1	a1
19	ECC1	a1
17	ECC1	a1
16	ECC1	a1
17	ECC1	a1
13	ECC1	a1
15	ECC1	a1
14	ECC1	a1
18	ECC1	a1
13	ECC1	a1
13	ECC1	a1
21	ECC1	a1
14	ECC1	a1
17	ECC1	a1
13	ECC1	a1
17	ECC1	a1
15	ECC1	a1
15	ECC1	a1
16	ECC1	a1
20	ECC1	a1
13	ECC1	a1
14	ECC1	a1
21	ECC1	a1
13	ECC1	a1
19	ECC1	a1
17	ECC1	a1
1	ECC2	m1
4	ECC2	m1
4	ECC2	m1
5	ECC2	m1
6	ECC2	m1
4	ECC2	m1
6	ECC2	m1
4	ECC2	m1
1	ECC2	m1
2	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
4	ECC2	m1
4	ECC2	m1
4	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
6	ECC2	m1
2	ECC2	m1
6	ECC2	m1
2	ECC2	m1
4	ECC2	m1
4	ECC2	m1
4	ECC2	m1
4	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
4	ECC2	m1
1	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
4	ECC2	m1
2	ECC2	m1
4	ECC2	m1
4	ECC2	m1
2	ECC2	m1
1	ECC2	m1
2	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
6	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
4	ECC2	m1
4	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
3	ECC2	m1
1	ECC2	m1
2	ECC2	m1
4	ECC2	m1
3	ECC2	m1
4	ECC2	m1
1	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
4	ECC2	m1
4	ECC2	m1
6	ECC2	m1
4	ECC2	m1
2	ECC2	m1
2	ECC2	m1
2	ECC2	m1
1	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
6	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
2	ECC2	m1
2	ECC2	m1
2	ECC2	m1
2	ECC2	m1
2	ECC2	m1
4	ECC2	m1
2	ECC2	m1
6	ECC2	m1
2	ECC2	m1
2	ECC2	m1
1	ECC2	a1
1	ECC2	a1
1	ECC2	a1
1	ECC2	a1
1	ECC2	a1
1	ECC2	a1
