shifts	Egg	Tree
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
5	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
5	ECC10	m1
1	ECC10	m1
3	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
5	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
9	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
3	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
5	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
1	ECC10	m1
3	ECC10	m1
3	ECC10	m1
3	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
7	ECC10	m1
3	ECC10	m1
1	ECC10	m1
1	ECC10	m1
1	ECC10	m1
5	ECC10	m1
1	ECC10	m1
1	ECC10	m1
3	ECC10	m1
5	ECC10	m1
2	ECC10	a1
4	ECC10	a1
4	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
4	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
4	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
2	ECC10	a1
3	ECC10	a1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
3	ECC10	w1
3	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
3	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
1	ECC10	w1
