Mean	Median	SD	Egg	Tree	Species
0.44	0	0.671497647731614	ECO3	a1	CO
6.68	6	1.28613429086601	ECO1	a1	CO
0.86	0	1.14609569998991	ECO2	a1	CO
3.74	4	1.35303624146106	ECO4	a1	CO
3.64	3	2.05244372700575	ECC2	m1	CC
4.57	4	1.90297481100332	ECC1	m1	CC
7.03	7	2.03233954850169	ECC6	m1	CC
2.78	2.5	1.83446246220862	ECC3	m1	CC
3.48	3	2.17645806230437	ECC8	m1	CC
2.31	2	1.77920081934434	ECC7	m1	CC
2.65	2	2.04185991664265	ECC5	m1	CC
0	0	0	ECC11	m1	CC
2.79	3	1.87107164237746	ECC9	m1	CC
2.69	3	1.64344427678857	ECC4	m1	CC
5.15	5	2.0269646910062	ECC10	m1	CC
0.33	0	0.75283974175629	ECC2	a1	CC
10.21	9	3.47369625277825	ECC1	a1	CC
5.63	6	1.93664815095723	ECC6	a1	CC
0.38	0	0.850193085615428	ECC3	a1	CC
2.13	2	0.872185227292386	ECC8	a1	CC
0.27	0	0.529054808029367	ECC7	a1	CC
0.32	0	0.529531906880067	ECC5	a1	CC
0	0	0	ECC11	a1	CC
0.92	0	1.05102162900982	ECC9	a1	CC
0.29	0	0.591095541679972	ECC4	a1	CC
1.92	2	1.16063375233995	ECC10	a1	CC
8.57	9	3.1018241618946	ECO3	m1	CO
16.49	17	4.93287262386049	ECO1	m1	CO
6.58	7	3.06554656751056	ECO2	m1	CO
11.96	12	3.0382078715432	ECO4	m1	CO
