Mean	Median	SD	Egg	Tree
4.31	4	1.57438459999038	E1	mt_tree
1.67	1	1.58945387991084	E2	mt_tree
2.39	2	1.74596215262068	E3	mt_tree
2.6	2	1.32573593055923	E4	mt_tree
1.76	1	1.86471759716363	E5	mt_tree
6.08	6	1.83501300466038	E6	mt_tree
4.57	4	1.32004744328575	E7	mt_tree
1.64	1	1.44613731412793	E8	mt_tree
2.09	2	1.71796802688937	E9	mt_tree
2.52	2	1.38155234019087	E10	mt_tree
2.39	2	1.69904905072446	E11	mt_tree
11.59	12	3.06196939332459	E1	a_tree
0.25	0	0.519809599951771	E2	a_tree
0.19	0	0.464823198711732	E3	a_tree
0.4	0	0.635641726163728	E4	a_tree
0.4	0	0.681649810860727	E5	a_tree
4.95	5	2.00693242979872	E6	a_tree
0.5	0	1.03961919990354	E7	a_tree
3.57	4	1.73644825009343	E8	a_tree
0.9	0.5	1.08711461300922	E9	a_tree
2.48	2	1.39609845966927	E10	a_tree
0.31	0	0.580751863770343	E11	a_tree
