Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	2	2	0.1	0.955352895361335	0.24540429220201	150.067746864449	0.943394777265745	0.53225	0.203716000508076	0.472254007549559
m2	1	Egg	2	2	0.1	0.981544730134745	0.247609655295956	141.023710239991	0.960952380952381	0.502369047619048	0.211756389882212	0.442389604909664
m3	1	Egg	2	2	0	1.01148163440251	0.181925606960965	80.5032492413685	0.914705882352941	0.247345238095238	0.161500699622655	0.176063410011743
m4	1	Egg	2	2	0.1	1.257492375392	0.315349669899491	103.54517749141	0.895173745173745	0.52559126984127	0.21169498971685	0.464731787849213
m5	1	Egg	2	2	0.1	2.0381444851169	0.339259943991896	105.336112321678	0.709065934065934	0.170678571428571	0.144351219361059	0.1051324928042
m6	1	Egg	2	2	0.1	1.20128804646196	0.335673865414794	120.317766231943	0.916666666666667	0.422638888888889	0.213957516937613	0.361672001750701
m7	1	Egg	2	2	0.1	1.27561871115133	0.309371629285672	107.364262520607	0.892380952380952	0.422880952380952	0.212285274015526	0.3556112416514
m1	2	Egg	2	2	1e-04	0.0383724364288518	0.054884919724386	146.156824501308	1	0.693142857142857	0.249621046304765	0.652953139769531
m2	2	Egg	2	2	0	2.18540048409437e-06	2.25001463477258e-06	137.728361253426	1	0.682571428571429	0.2422960064186	0.640213410960677
m3	2	Egg	2	2	0	1.05333991292779	0.233605781438731	80.5032492413685	0.924358974358974	0.281396825396825	0.169467373774283	0.21583134572284
m4	2	Egg	2	2	1e-04	0.720829660825011	0.827132049365795	115.819085032652	0.963585434173669	0.609095238095238	0.227439874860403	0.556958625704143
m5	2	Egg	2	2	0.1	1.69227762993099	0.213413815200873	94.4701536513472	0.833537414965986	0.249595238095238	0.173663368346333	0.188881103274166
m6	2	Egg	2	2	1e-04	0.0432877111690393	0.0604429877816507	150.150404036227	1	0.714904761904762	0.243118633332241	0.677516830940231
m7	2	Egg	2	2	0	0.21626157222677	0.102729017080077	129.770923939055	0.982334869431644	0.588357142857143	0.22104671180756	0.535111895594171
m1	3	Egg	2	2	0.1	0.979962270608042	0.287564503353659	151.393186430357	0.945	0.472369047619048	0.200168729574241	0.406113462926178
m2	3	Egg	2	2	0.1	1.01085677277309	0.231990244768869	142.012844684112	0.954703832752613	0.534178571428571	0.232846382497432	0.478821015165884
m3	3	Egg	2	2	0	0.950787216320322	0.248914077810137	80.5032492413685	0.903694581280788	0.270440476190476	0.17091080209659	0.199930006546345
m4	3	Egg	2	2	0.1	1.05672780757003	0.201802929756152	116.120686091294	0.946774193548387	0.497535714285714	0.214631838934455	0.433203461731688
m5	3	Egg	2	2	0.1	1.86842622334928	0.292672235338146	115.999069008633	0.7375	0.219142857142857	0.168333115435363	0.152831913586761
m6	3	Egg	2	2	0.1	1.3421990203157	0.308090917764639	111.183347557113	0.858571428571429	0.355142857142857	0.17862271830361	0.285204442173451
m7	3	Egg	2	2	0.1	1.32870223818297	0.264694406975855	98.9094400084308	0.917901234567901	0.323765873015873	0.183282049765433	0.254274752588293
