Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	2	2	0.1	0.922626920459189	0.24801059604491	73.9599680557491	0.898780487804878	0.493309523809524	0.257581772941994	0.412134624889158
m2	1	Egg	2	2	1e-04	0.394688204794576	0.191575861253231	65.7307163540175	0.97479674796748	0.5065	0.246944231402801	0.418620582316235
m3	1	Egg	2	2	0.1	1.60332314991271	0.20215490061609	54.5610293364934	0.731395348837209	0.144166666666667	0.156156397328086	0.0686258059928137
m4	1	Egg	2	2	0.1	1.30711242487409	0.348593434536031	74.2955572808305	0.879385964912281	0.349714285714286	0.240887018760888	0.27470641376334
m5	1	Egg	2	2	0.1	1.80078488271127	0.38547709100376	62.4509799104219	0.748936170212766	0.204095238095238	0.182048740644684	0.117901666097721
m6	1	Egg	2	2	1e-04	0.849029312765373	0.835787046172605	63.8190850342605	0.931159420289855	0.555119047619048	0.23236721561643	0.470797909674271
m7	1	Egg	2	2	0	0.291316843692186	0.159900976767727	72.5643862644932	0.96869918699187	0.572166666666667	0.238413374518441	0.485703669752407
m1	2	Egg	2	2	0.1	1.21538399811661	0.466402507461218	70.9537166826002	0.81984126984127	0.428595238095238	0.259633003448203	0.340282903564698
m2	2	Egg	2	2	0.1	1.31700590574801	0.392572561510496	57.6381700678351	0.81984126984127	0.397095238095238	0.228491142505438	0.310522596861791
m3	2	Egg	2	2	0	1.48796665729993	0.238455136362826	47.833318375757	0.749305555555556	0.129833333333333	0.146724334392869	0.0549812951190932
m4	2	Egg	2	2	0.1	1.41211054786975	0.461826381909569	66.746800682626	0.832222222222222	0.410785714285714	0.265749999539426	0.327948422698854
m5	2	Egg	2	2	0.1	1.75401853690925	0.391993822344917	62.4509799104219	0.752450980392157	0.221857142857143	0.184169081369638	0.136586879545804
m6	2	Egg	2	2	0.1	1.32295465509001	0.457056301305842	57.6381700837453	0.820138888888889	0.457214285714286	0.2366191510017	0.366076922376361
m7	2	Egg	2	2	0.1	1.19521911752644	0.374036014852258	57.6381700740619	0.866260162601626	0.430785714285714	0.232265881734012	0.346071846951003
m1	3	Egg	2	2	0	4.74536259337375e-06	6.23456282891359e-06	75.5631477294849	1	0.706	0.274480633936686	0.649817417876241
m2	3	Egg	2	2	0	0.335644330335092	0.154168951767893	71.02567210524	0.964473684210526	0.560833333333333	0.22107889114074	0.468026459350401
m3	3	Egg	2	2	0	1.48139478041924	0.218417727328556	47.833318375757	0.762878787878788	0.134761904761905	0.147382624994297	0.0597766721631914
m4	3	Egg	2	2	0	0.295430664035669	0.15746120839412	45.8372286680096	0.968333333333333	0.54552380952381	0.247497213524698	0.461214999334833
m5	3	Egg	2	2	0	1.0084987019925	0.230808445217913	48.9319535942226	0.854513888888889	0.26152380952381	0.18830706954468	0.169405535118843
m6	3	Egg	2	2	0	4.96764647574968e-06	5.33207986873123e-06	77.0931219703758	1	0.713571428571429	0.260448859069782	0.654357564082047
m7	3	Egg	2	2	0	0.304327055802282	0.218470854229171	72.5643862644932	0.976041666666667	0.570952380952381	0.26593988089008	0.499754420437935
m1	4	Egg	2	2	0.1	1.14333610491938	0.463742287731085	70.3120540960232	0.873423423423423	0.438988095238095	0.240450851786073	0.350292969433492
m2	4	Egg	2	2	0.1	1.27083807666987	0.558383173135035	57.6381700678351	0.85125	0.417166666666667	0.231903447051157	0.344463067516456
m3	4	Egg	2	2	0	1.47776698420431	0.23271973843002	47.833318375757	0.751360544217687	0.131833333333333	0.152091571890686	0.0595377768527158
m4	4	Egg	2	2	0.1	1.23874380904974	0.361745604471811	57.6381700667282	0.866981132075472	0.437047619047619	0.218395027222315	0.347779392213987
m5	4	Egg	2	2	0.1	1.55097895168085	0.307862274211224	54.3682868191778	0.804398148148148	0.288	0.185230162888085	0.208675482603913
m6	4	Egg	2	2	0.1	1.31470816871971	0.451692877719197	57.6381700640783	0.833148148148148	0.46	0.26681393240048	0.38253746983498
m7	4	Egg	2	2	0.1	1.31136215016131	0.435982652664396	57.6381700740619	0.827898550724638	0.410666666666667	0.245451179276422	0.331150898073409
m1	5	Egg	2	2	0.1	1.0909475868195	0.420407923822768	70.3120540960232	0.880740740740741	0.4745	0.257038462187609	0.395022988317818
m2	5	Egg	2	2	0.1	1.25570487792599	0.309911858102444	57.6381700955904	0.84375	0.406166666666667	0.238184950630955	0.329003078336838
m3	5	Egg	2	2	0	1.46515188559645	0.229389398331099	47.833318375757	0.782608695652174	0.126535714285714	0.147724354496721	0.0612812385481482
m4	5	Egg	2	2	0.1	1.31405096582545	0.308361011659483	57.6381700667282	0.832407407407407	0.415535714285714	0.22344382938435	0.326174496952506
m5	5	Egg	2	2	0.1	1.48641901190964	0.339984784165095	54.3682867943276	0.836666666666667	0.2775	0.214314672566317	0.200369636331273
m6	5	Egg	2	2	0.1	1.29901266513786	0.515169136137363	57.6381700640783	0.833006535947712	0.481547619047619	0.221279792735532	0.393624862514764
m7	5	Egg	2	2	0.1	1.21989836803815	0.355814817831394	57.6381700744218	0.844507575757576	0.434238095238095	0.250828074975023	0.35083016983017
m1	6	Egg	2	2	0.1	0.893358506640555	0.293362999273082	87.419781625705	0.92724358974359	0.577666666666667	0.245991659909904	0.491717910279048
m2	6	Egg	2	2	1e-04	0.327547994509242	0.164678249760537	65.7306595107534	0.975	0.542654761904762	0.269856710310727	0.464984873004508
m3	6	Egg	2	2	0.1	1.68785852601749	0.233746188021099	62.7434142295122	0.713953488372093	0.120095238095238	0.143794551491973	0.0450555249311643
m4	6	Egg	2	2	0.1	1.38243602031673	0.30464196042838	74.2955572808305	0.858943089430894	0.3895	0.218961622023568	0.293524921899045
m5	6	Egg	2	2	0.1	1.75828264905991	0.302377002448441	62.4509799104219	0.749186991869919	0.218047619047619	0.18621624668345	0.121947625227544
m6	6	Egg	2	2	0.1	0.992392199703941	0.309088404553225	63.8190850342605	0.896938775510204	0.526119047619048	0.234917577053926	0.44209801081203
m7	6	Egg	2	2	0	0.34766652751536	0.215060403050654	72.5643862644932	0.963888888888889	0.545238095238095	0.247059020016458	0.458902715404579
m1	7	Egg	2	2	1e-04	0.446390908943778	0.155531785714576	75.6650955475498	0.978148148148148	0.514166666666667	0.236882281921243	0.426673967337011
m2	7	Egg	2	2	1e-04	0.636907222869686	0.260736602507657	65.7169588156125	0.963821138211382	0.428642857142857	0.216100077671161	0.327446055882901
m3	7	Egg	2	2	1e-04	1.15530862781841	0.27606327534302	69.4710018397612	0.834751773049645	0.220547619047619	0.163881649264121	0.110743300294843
m4	7	Egg	2	2	1e-04	0.525768725966943	0.272109022655533	75.5451774871562	0.956976744186047	0.514785714285714	0.209996159323283	0.421231258576662
m5	7	Egg	2	2	0.1	1.26541532181176	0.245237581620127	54.9094400489902	0.867028985507246	0.288666666666667	0.201994543825147	0.19681970908392
m6	7	Egg	2	2	1e-04	0.639340029675405	0.235281181257121	89.9403647321774	0.962195121951219	0.39747619047619	0.220292544261889	0.305727103393952
m7	7	Egg	2	2	0.1	1.14529523023439	0.245957304892817	65.8385792459791	0.956439393939394	0.386333333333333	0.213902072268511	0.307443062839451
m1	8	Egg	2	2	0	0.294074164824963	0.157789991304894	68.733373582306	0.964761904761905	0.560595238095238	0.241122262290499	0.47525228132083
m2	8	Egg	2	2	0	0.323959052731192	0.14738909333883	55.7438493058777	0.956349206349206	0.535261904761905	0.241037780239495	0.428122996685409
m3	8	Egg	2	2	0	1.52280546841649	0.246007339753075	47.833318375757	0.766666666666667	0.116	0.137046773700873	0.055519157179344
m4	8	Egg	2	2	0	0.349877038455797	0.15436673986378	45.8204410478262	0.952721088435374	0.563833333333333	0.229563766757423	0.474080057517078
m5	8	Egg	2	2	0	0.936404846796465	0.189923734199568	46.8414993492399	0.884666666666667	0.227928571428571	0.204206281907398	0.130791877102238
m6	8	Egg	2	2	0	0.306997672916792	0.171656441321035	70.1635518691721	0.949186991869919	0.557785714285714	0.249810586987032	0.465687531633452
m7	8	Egg	2	2	0	0.324836937696227	0.146869940435377	72.5643862644932	0.961538461538462	0.546277777777778	0.260602646272625	0.460980937379524
m1	9	Egg	2	2	0.1	1.27838689410833	0.390021836679223	79.827177576611	0.845138888888889	0.423916666666667	0.221724996122954	0.313842294399798
m2	9	Egg	2	2	0.1	1.34542338429551	0.309135460142615	82.0110145208044	0.831818181818182	0.368952380952381	0.22658541759072	0.279805838164668
m3	9	Egg	2	2	0.1	1.7203021913994	0.26466800966428	62.7434142295122	0.735087719298246	0.120619047619048	0.138167046066361	0.0585497073296973
m4	9	Egg	2	2	0.1	1.34172703350694	0.331859388499087	74.2955572808305	0.892962962962963	0.343166666666667	0.233021617181913	0.250947581404103
m5	9	Egg	2	2	0.1	1.77347887724896	0.352592433440121	62.4509799104219	0.772222222222222	0.178857142857143	0.170589537238003	0.101911923125311
m6	9	Egg	2	2	0.1	1.3238190827962	0.411213026533429	66.5916737781471	0.842424242424242	0.332452380952381	0.234876427873271	0.254772594670819
m7	9	Egg	2	2	0.1	1.49194902268821	0.398809342848092	66.5916737745779	0.766085271317829	0.37	0.217912759652353	0.289422155955724
m1	10	Egg	2	2	0.1	0.948637184046897	0.34713026942378	83.8190850351617	0.913405797101449	0.45547619047619	0.252509224393418	0.371619170535842
m2	10	Egg	2	2	1e-04	0.379865005512181	0.183013869140776	65.7307163540175	0.95875	0.540571428571429	0.234975940215928	0.447731100910594
m3	10	Egg	2	2	0.1	1.70055103965259	0.225126116418799	62.7434142295122	0.714015151515151	0.121261904761905	0.14431683904147	0.0506065963022485
m4	10	Egg	2	2	0.1	1.34806407919212	0.309089036026647	82.7364998954121	0.858712121212121	0.332595238095238	0.192518718917655	0.241710043373561
m5	10	Egg	2	2	0.1	1.70897391760445	0.385089527655873	58.1873718459868	0.731395348837209	0.259666666666667	0.192277980004553	0.174176469417598
m6	10	Egg	2	2	1e-04	0.80092864168577	0.990360043874554	73.8190850354456	0.964705882352941	0.478595238095238	0.271066629350342	0.398334681712012
m7	10	Egg	2	2	0	0.32565938487392	0.136718365976186	72.5643862644932	0.963768115942029	0.558119047619048	0.244015640979103	0.467515070912779
m1	11	Egg	2	2	0	0.323141146736271	0.151969271606844	65.6627519327874	0.966346153846154	0.583833333333333	0.237746328043813	0.493325710521363
m2	11	Egg	2	2	0	0.29776773363556	0.171981759964712	69.7468523085015	0.967460317460317	0.546357142857143	0.241654601072616	0.449833029289551
m3	11	Egg	2	2	0	0.974865554974588	0.260683534836061	48.8550485526746	0.881782945736434	0.259428571428571	0.193940041356371	0.158587007415487
m4	11	Egg	2	2	0	0.311515020693518	0.20167631248411	80.9207653978246	0.965	0.535452380952381	0.241109561470777	0.438576471958056
m5	11	Egg	2	2	0.1	1.28194724208892	0.254459753373484	55.1193297414072	0.859863945578231	0.320738095238095	0.217128356762076	0.218846599152231
m6	11	Egg	2	2	0	0.314484112837343	0.178226332948808	65.7333648518771	0.976190476190476	0.582714285714286	0.255057553004869	0.499192839185125
m7	11	Egg	2	2	0	0.324808982378041	0.126322442297385	72.5643862644932	0.977173913043478	0.575071428571429	0.22221512434552	0.491989985820631
m1	12	Egg	2	2	0.1	1.36908409753126	0.431787929460733	89.9894166909414	0.826422764227642	0.403952380952381	0.235781499592437	0.317448887309511
m2	12	Egg	2	2	0.1	1.1861312436148	0.352567934302578	66.5916737735888	0.9	0.387690476190476	0.239188939435446	0.302202599979182
m3	12	Egg	2	2	0.1	1.73021517177748	0.269306676876231	54.5610293364934	0.735365853658537	0.125119047619048	0.145148126196023	0.0618505680271108
m4	12	Egg	2	2	0.1	1.79606257708802	0.566763554603554	76.9583646822164	0.729710144927536	0.271261904761905	0.239390956063371	0.189262169934815
m5	12	Egg	2	2	0.1	2.16224459767099	0.346687816542286	65.9610722164415	0.611607142857143	0.1475	0.157391314289234	0.0644403786956382
m6	12	Egg	2	2	0.1	1.44663019982345	0.404713882919679	66.5916737778947	0.824836601307189	0.427285714285714	0.241911318761433	0.339229542590979
m7	12	Egg	2	2	0.1	1.24982961162147	0.337244881391278	57.6381700740619	0.849404761904762	0.414738095238095	0.242054548837702	0.336586523388794
m1	13	Egg	2	2	1e-04	0.396137590012356	0.144516088628604	75.6704554124377	0.959126984126984	0.507142857142857	0.248572276310294	0.422910549286261
m2	13	Egg	2	2	1e-04	0.374735889258929	0.183644086353188	65.7306595107534	0.977777777777778	0.531833333333333	0.224034216061587	0.443794522444665
m3	13	Egg	2	2	0.1	1.70540066186403	0.285472578664356	62.7434142295122	0.710714285714286	0.136595238095238	0.1616370388559	0.0642059361244866
m4	13	Egg	2	2	1e-04	0.526404869639177	0.192271407737868	65.751535080928	0.966666666666667	0.502595238095238	0.225831617052692	0.409432447772735
