Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECO1	ECO1	4	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO2	ECO1	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO3	ECO1	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO4	ECO1	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO1	ECO2	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO2	ECO2	3	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO3	ECO2	1	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO4	ECO2	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO1	ECO3	1	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO2	ECO3	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO3	ECO3	3	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO4	ECO3	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO1	ECO4	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO2	ECO4	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO3	ECO4	0	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO4	ECO4	4	m1	1	Egg	4	2	0.827376818783069	1.18075404929484	0.534619047619048	0.186990769205137
ECO1	ECO1	4	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO2	ECO1	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO3	ECO1	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO4	ECO1	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO1	ECO2	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO2	ECO2	3	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO3	ECO2	1	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO4	ECO2	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO1	ECO3	2	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO2	ECO3	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO3	ECO3	2	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO4	ECO3	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO1	ECO4	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO2	ECO4	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO3	ECO4	0	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO4	ECO4	4	m2	1	Egg	4	2	0.837868818162186	1.10315778531053	0.525309523809524	0.192864017775431
ECO1	ECO1	4	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO2	ECO1	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO3	ECO1	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO4	ECO1	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO1	ECO2	3	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO2	ECO2	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO3	ECO2	1	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO4	ECO2	0	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
ECO1	ECO3	2	m3	1	Egg	4	2	0.5763099669994	1.77709118192789	0.242659812409812	0.172219683538085
