Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	2	2	0.1	1.1661421160695	0.255707179901059	219.111973102451	0.919146825396825	0.48307215007215	0.184371530505909	0.427772431880786
m2	1	Egg	2	2	0.1	1.19252310993975	0.208227981681393	184.286856353211	0.946974206349206	0.508060966810967	0.189359268397095	0.462406313297973
m3	1	Egg	2	2	0	1.2207543017985	0.160089548754232	134.351028152742	0.909844322344322	0.156818181818182	0.122557704949616	0.109128302618702
m4	1	Egg	2	2	0.1	1.40122816776306	0.472368511003361	153.364262547924	0.858630952380952	0.426503968253968	0.200986269877267	0.375080389076842
m5	1	Egg	2	2	0.1	2.09023715077753	0.240040346590532	155.342517145412	0.751596749811036	0.195757936507936	0.124636050057464	0.143531676105441
m6	1	Egg	2	2	0.1	1.54579515191449	0.222488443834473	179.987647427647	0.883560090702948	0.323381673881674	0.153171215799446	0.265835956378832
m7	1	Egg	2	2	0.1	1.65065609310958	0.222172334496562	185.959298650563	0.854336734693877	0.2706443001443	0.150705901223256	0.214432400383262
m1	2	Egg	2	2	0.1	1.54416037055722	0.317482757427363	240.912731177896	0.848888888888889	0.362718253968254	0.170134995323073	0.308590235882223
m2	2	Egg	2	2	0.1	1.42320361190354	0.259066491321504	206.030320288726	0.898511904761905	0.395785714285714	0.155301470795925	0.341913629073885
m3	2	Egg	2	2	0.1	1.85145701794811	0.188338090389099	169.232541754177	0.863977072310406	0.108164502164502	0.110195456471649	0.0697487641048494
m4	2	Egg	2	2	0.1	1.78233148629725	0.271775932219651	195.348572790798	0.839821428571429	0.299982323232323	0.142056085217973	0.246126185579214
m5	2	Egg	2	2	0.1	2.51139328171365	0.33911636401312	140.273497473776	0.612748015873016	0.0942067099567099	0.099189596797111	0.0564842522549691
m6	2	Egg	2	2	0.1	2.2254393739926	0.398527151392106	183.868013934969	0.72625	0.245695526695527	0.144508859879512	0.196282893800144
m7	2	Egg	2	2	0.1	1.81675055561309	0.259038861285272	183.663523874071	0.783456486042693	0.307266955266955	0.156933676241783	0.249300226882584
m1	3	Egg	2	2	0.1	1.48072219807804	0.336509911085995	207.639070260212	0.862732919254658	0.345071428571429	0.172370080991746	0.291356624369036
m2	3	Egg	2	2	0.1	1.50824037265804	0.35101391225854	189.364262539361	0.850844854070661	0.390059523809524	0.181808022407328	0.333773351464372
m3	3	Egg	2	2	0.1	1.95480805595248	0.284281218925747	145.79194401109	0.806569664902998	0.134055555555556	0.120009970855099	0.0880805588349482
m4	3	Egg	2	2	0.1	1.67847424046648	0.266129940269155	189.822985877522	0.856652661064426	0.299652958152958	0.166688941956934	0.248400959571565
m5	3	Egg	2	2	0.1	2.13555151270428	0.293889410800721	154.53574310109	0.7626026272578	0.14947619047619	0.128702126477149	0.0992225483547575
m6	3	Egg	2	2	0.1	1.78719233391989	0.282411144466181	193.157091269217	0.835093167701863	0.248619769119769	0.135270802236892	0.194295520413105
m7	3	Egg	2	2	0.1	1.76658738225461	0.16328251271407	185.110841228013	0.814469954648526	0.251900793650794	0.151080620408506	0.195856453065379
m1	4	Egg	2	2	1e-04	0.428582111419863	0.343127034571647	211.402572296835	0.986380952380952	0.56078823953824	0.200647082073975	0.514026341925205
m2	4	Egg	2	2	0	0.335263392514441	0.135323137205485	155.375242222631	0.981051587301587	0.534640692640693	0.183095719610008	0.484896639566459
m3	4	Egg	2	2	0	1.05188775688243	0.186153069932821	148.848309516912	0.924131944444444	0.256361111111111	0.135586338989321	0.207941206028682
