Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	4	2	0.1	1.18075404929484	0.428811753536654	69.076136747085	0.827376818783069	0.534619047619048	0.186990769205137	0.394806791563084
m2	1	Egg	4	2	0.1	1.10315778531053	0.337776655248179	65.7205129666877	0.837868818162186	0.525309523809524	0.192864017775431	0.389905690556254
m3	1	Egg	4	2	0.1	1.77709118192789	0.409977866390838	51.3457085433005	0.5763099669994	0.242659812409812	0.172219683538085	0.0981668992858535
m4	1	Egg	4	2	0.1	1.51792300633617	0.357582649437672	61.2708871956224	0.700565159574468	0.290837301587302	0.162478294994344	0.121097956768469
m5	1	Egg	4	2	0.1	1.39749365284587	0.250704768379399	50.827330558692	0.66529823269514	0.309892857142857	0.154126391079743	0.140684602266788
m6	1	Egg	4	2	0.1	1.0251597797133	0.332163266876433	56.1677095466042	0.852319514062935	0.49747619047619	0.177513321777827	0.356534151577154
m7	1	Egg	4	2	0.1	0.984020049816746	0.283686933534838	45.5890361311291	0.826749406807397	0.53906746031746	0.169055243890622	0.396296001005349
m1	2	Egg	4	2	0.1	0.985172312094025	0.387569009400934	73.4336318220127	0.891470616024187	0.671325396825397	0.200064366562231	0.571286590419738
m2	2	Egg	4	2	0.1	1.23861596931779	0.368593522290129	55.9549700631737	0.782513401559454	0.575226190476191	0.212133498413459	0.444910991973299
m3	2	Egg	4	2	0.1	1.76371872210289	0.335829003434034	53.7994082927097	0.54579509755291	0.177650793650794	0.147046565003423	0.0155489191049557
m4	2	Egg	4	2	0.1	1.32814555043564	0.436908623411597	52.7420457662064	0.797900814105711	0.440968253968254	0.184022151120568	0.289320507074017
m5	2	Egg	4	2	0.1	1.22062941615738	0.375424217605103	45.0984045693748	0.753828572806437	0.443626984126984	0.193815638807554	0.288069985427237
m6	2	Egg	4	2	0.1	0.943280645093126	0.32141114256186	50.4414422044386	0.910835310642012	0.620238095238095	0.237391154727078	0.510176459537704
m7	2	Egg	4	2	0.1	1.01026785562243	0.31510340197199	46.4107588278767	0.845256426846101	0.640849206349206	0.22119420979504	0.534932231743914
m1	3	Egg	4	2	0.1	0.977188377787406	0.405894383255272	72.040124945772	0.873577426685804	0.639857142857143	0.198964922719445	0.514557221179081
m2	3	Egg	4	2	0.1	1.26323024577391	0.502553168206674	52.8491291753144	0.784556008075745	0.547515873015873	0.216106637566028	0.422733090004936
m3	3	Egg	4	2	0.1	1.75212581187678	0.334359382649686	63.8616478181411	0.496504526289683	0.125253968253968	0.13153367854502	-0.0252724143589033
m4	3	Egg	4	2	0.1	1.19097486300374	0.344791323937986	52.0320632814507	0.814167928053237	0.470630952380952	0.206201874295466	0.322150282454583
m5	3	Egg	4	2	0.1	1.05593475121217	0.313563938309009	41.3693358319604	0.810511270659466	0.52852380952381	0.197370344265619	0.385593410149272
m6	3	Egg	4	2	0.1	0.879478605249396	0.318284939871036	48.7241619846811	0.905166388192704	0.663519841269841	0.222831550658964	0.556951566631213
m7	3	Egg	4	2	0.1	1.15866087666043	0.309136386899736	45.5027054703458	0.811779391243677	0.561031746031746	0.225177544539226	0.441922739122079
m1	4	Egg	4	2	0.1	1.31773829891224	0.398872200901135	71.3496234647515	0.754108187134503	0.416936507936508	0.179357017105026	0.253707291296734
m2	4	Egg	4	2	0.1	1.36885133797235	0.40272539411381	58.5492017423961	0.752181687394316	0.394420634920635	0.208557986938593	0.234078665058305
m3	4	Egg	4	2	0.1	1.77461601197195	0.298770207157515	54.4814923170764	0.497577887537994	0.159797619047619	0.134448377183434	0.0046208429591267
m4	4	Egg	4	2	0.1	1.40328662703004	0.380157987667828	56.4546175355107	0.700388647095636	0.39068253968254	0.197710208057851	0.236730539969068
m5	4	Egg	4	2	0.1	1.28276976147714	0.307797201023183	47.9813146394195	0.693648705096074	0.358511904761905	0.158374002939331	0.201209143433504
m6	4	Egg	4	2	0.1	1.25047224812661	0.346060654901638	53.3151285983912	0.74932720367643	0.375257936507936	0.166962680764013	0.228970334589361
m7	4	Egg	4	2	0.1	1.33870887941698	0.334004418412293	53.3151286072535	0.711441628484154	0.3435	0.170581002589113	0.194381407385475
m1	5	Egg	4	2	0.1	1.20782678173391	0.444089700808129	71.6472522731155	0.784235318838183	0.492944444444444	0.217980323008735	0.342055023100494
m2	5	Egg	4	2	0.1	1.22310901412663	0.363492791943932	73.9528453411925	0.7851819146462	0.470984126984127	0.189626249242464	0.316496708837822
m3	5	Egg	4	2	0.1	1.89271152156721	0.316279815696173	55.8858143607666	0.408156179138322	0.112428571428571	0.110024880111589	-0.048120261682793
m4	5	Egg	4	2	0.1	1.44273432643493	0.330576454495508	56.4217812847807	0.601924978181421	0.283043650793651	0.168621217591687	0.12174142918198
m5	5	Egg	4	2	1e-04	1.11265090240222	0.239702102729074	50.3666960477891	0.720796530977983	0.350607142857143	0.151353824537059	0.209876012876013
m6	5	Egg	4	2	0.1	1.08439787198372	0.372864830492334	55.499837148856	0.828781145394666	0.543488095238095	0.222961012635311	0.41596758500441
m7	5	Egg	4	2	0.1	1.1807725343366	0.328713454787476	49.3797985547591	0.804388461332906	0.511853174603175	0.205604622078846	0.379948330949018
m1	6	Egg	4	2	0.1	1.20561943080064	0.435009315218175	64.5954826677665	0.793440545808967	0.468936507936508	0.210869961398272	0.324375529185057
m2	6	Egg	4	2	0.1	1.13420972646747	0.393411473372061	50.3177662478673	0.813166828492626	0.501952380952381	0.196819106867796	0.354463002404928
m3	6	Egg	4	2	0.1	1.75202230770277	0.319020289193269	53.1899617104176	0.538196755703476	0.176595238095238	0.132825621949296	0.0160695540933555
m4	6	Egg	4	2	0.1	1.48018144596074	0.311859952559933	52.6860530776833	0.650011420662194	0.286654761904762	0.160990694110949	0.13113384301142
m5	6	Egg	4	2	0.1	1.32147583380899	0.311715397992718	47.9813146394195	0.715332494681721	0.352202380952381	0.187386357828563	0.205794993141313
m6	6	Egg	4	2	0.1	1.10257992922603	0.376669183642449	48.2648566757769	0.827872260015117	0.559976190476191	0.18521394008182	0.4255623714854
m7	6	Egg	4	2	0.1	1.0578705815322	0.32391397669012	42.1368512908898	0.839839701630939	0.582373015873016	0.180871353786051	0.454527474431474
m1	7	Egg	4	2	0.1	1.22587364536249	0.423593372302107	50.3177662250779	0.782362236131566	0.470583333333333	0.195305782489441	0.312380534893675
m2	7	Egg	4	2	0.1	1.23825142945846	0.436832791506116	50.3177662442444	0.79548133829706	0.493392857142857	0.190539189242077	0.346101736459044
m3	7	Egg	4	2	0.1	1.88379566484669	0.317152397718609	55.9284416987325	0.459667452050265	0.121785714285714	0.110895805103468	-0.0529277317996092
m4	7	Egg	4	2	0.1	1.54780995187068	0.341784064918096	52.686053017572	0.633633651873448	0.33125	0.15404274530935	0.160982680125422
m5	7	Egg	4	2	0.1	1.29635538663843	0.299727610455422	41.9814477997077	0.708904020362354	0.37125	0.164923490257591	0.227578947716544
m6	7	Egg	4	2	0.1	1.13414918679316	0.399093799014256	42.2660180801564	0.830549481697441	0.520198412698413	0.203526136353149	0.379833366479817
m7	7	Egg	4	2	0.1	1.15416256806392	0.345625129632695	42.3319437794395	0.803597091324956	0.521928571428571	0.215973868460532	0.390724870571508
m1	8	Egg	4	2	1e-04	0.233156608319471	0.261046678556534	60.118650687835	0.996771704500199	0.861650793650794	0.186071527946368	0.81754670864486
m2	8	Egg	4	2	1e-04	0.448307497249619	0.610912136472544	62.6687456373265	0.986603327228327	0.835833333333333	0.208372840341201	0.786317699488858
m3	8	Egg	4	2	0.1	1.66151176328449	0.345717448899553	62.6173915581108	0.565767543859649	0.222694444444444	0.154026525974051	0.0621833240900563
m4	8	Egg	4	2	0.1	1.42044589151335	0.419922084475265	64.2688934103099	0.775244095347188	0.443079365079365	0.219328163300448	0.300594469118771
m5	8	Egg	4	2	0.1	1.39510818665383	0.344348224996733	48.993009699157	0.725318064800592	0.331706349206349	0.154750624478415	0.173787072374026
m6	8	Egg	4	2	1e-04	0.192964731173784	0.224934026600372	48.1350130612331	0.997569444444444	0.896452380952381	0.169091308230942	0.859297542736757
m7	8	Egg	4	2	0.1	0.487459184165439	0.191136377881652	51.5315981321357	0.99744071239607	0.85481746031746	0.147386132693583	0.79434119963322
m1	9	Egg	4	2	0.1	0.962802724883714	0.424797238973969	78.188790830241	0.870369164737654	0.627285714285714	0.229240822756379	0.508610092394275
m2	9	Egg	4	2	0.1	1.17209214061469	0.456215045688657	57.8190850470512	0.832408973823447	0.578452380952381	0.23253700459923	0.46182434692799
m3	9	Egg	4	2	0.1	1.58995270697432	0.39431906644365	47.6453415616091	0.668559593428015	0.27909126984127	0.159928752791262	0.131602489179751
m4	9	Egg	4	2	0.1	1.0604713967438	0.324305246728673	59.6547657079257	0.852335655037478	0.482238095238095	0.177161960365779	0.330685797396009
m5	9	Egg	4	2	0.1	1.0231500036077	0.316986203188022	41.4561668476209	0.837744398974868	0.502599206349206	0.197921762162246	0.364954307302322
m6	9	Egg	4	2	0.1	0.955823382979646	0.35456767682227	56.3177662112238	0.893781001984127	0.586190476190476	0.213277181484373	0.462543621427082
