Prediction	Reference	Freq	Model	Iteration	Variable	Subsample	MinObs	AUC	logloss	Accuracy	AccuracySD
ECO1	ECO1	2	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO2	ECO1	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO3	ECO1	1	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO4	ECO1	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO1	ECO2	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO2	ECO2	2	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO3	ECO2	1	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO4	ECO2	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO1	ECO3	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO2	ECO3	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO3	ECO3	3	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO4	ECO3	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO1	ECO4	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO2	ECO4	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO3	ECO4	0	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO4	ECO4	3	m1	1	Egg	3	2	0.742418300653595	1.45919331156387	0.377	0.20686560426207
ECO1	ECO1	2	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO2	ECO1	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO3	ECO1	1	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO4	ECO1	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO1	ECO2	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO2	ECO2	2	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO3	ECO2	1	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO4	ECO2	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO1	ECO3	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO2	ECO3	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO3	ECO3	3	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO4	ECO3	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
ECO1	ECO4	0	m2	1	Egg	3	2	0.699102303523035	1.60536887870463	0.402928571428571	0.190692174023328
