Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	2	2	1e-04	0.61168774734107	0.676406721946626	135.235695380141	0.973291925465839	0.558357142857143	0.223539116220072	0.496783699556973
m2	1	Egg	2	2	0	0.218054764216508	0.129933812030003	127.096623932234	0.983788515406162	0.606440476190476	0.216644736097353	0.551959446280976
m3	1	Egg	2	2	0	0.777727540019391	0.153606270733392	89.0830543545401	0.921044546850998	0.349988095238095	0.172677586647331	0.283095878580074
m4	1	Egg	2	2	1e-04	0.881480803450142	0.693561547712505	115.819085043179	0.962433862433862	0.548571428571429	0.198050607554268	0.482815961532038
m5	1	Egg	2	2	0.1	1.55576212769448	0.415846091959878	89.913464289035	0.843629343629344	0.328119047619048	0.193516270658376	0.256653407027027
m6	1	Egg	2	2	1e-04	1.06815765126662	0.705894747302135	98.9094400016753	0.93994708994709	0.343809523809524	0.16650708707451	0.266235418707614
m7	1	Egg	2	2	0	0.912023926472756	0.143174044254195	78.4379816887918	0.925297619047619	0.259349206349206	0.175340593738523	0.185684397547713
m1	2	Egg	2	2	1e-04	0.645972864187458	0.650521154859771	115.819085031966	0.974867724867725	0.552214285714286	0.223638444416205	0.495847794478745
m2	2	Egg	2	2	0	0.246481574298527	0.109834080099077	127.096623932234	0.978571428571429	0.577809523809524	0.2270312038084	0.519467775839618
m3	2	Egg	2	2	0	0.808132551464593	0.133849996856789	110.088998194282	0.925499231950845	0.355055555555556	0.178745800706756	0.286919180118353
m4	2	Egg	2	2	1e-04	0.868445319533177	0.750234145865243	115.819085043179	0.96390056022409	0.594380952380952	0.220473827016235	0.536833852882043
m5	2	Egg	2	2	0.1	1.49642208856535	0.298535059003159	90.175147308607	0.879586834733894	0.300269841269841	0.1759209972294	0.235894458211454
m6	2	Egg	2	2	1e-04	1.01870941734151	0.557028329747788	98.9094400022467	0.934666666666667	0.361738095238095	0.183412807683654	0.288370344661767
m7	2	Egg	2	2	0	0.919973142475111	0.142792435313943	78.4379816887918	0.934729064039409	0.259285714285714	0.144301758648978	0.179275877463287
m1	3	Egg	2	2	0.1	1.20104519922444	0.400007009570589	129.819085045991	0.937362637362637	0.411988095238095	0.198442656829192	0.346432620258581
