Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	3	2	0.1	1.45919331156387	0.462453101534795	65.5889115520384	0.742418300653595	0.377	0.20686560426207	0.223120464911904
m2	1	Egg	3	2	0.1	1.60536887870463	0.454683488676912	62.067785941311	0.699102303523035	0.402928571428571	0.190692174023328	0.245241209364781
m3	1	Egg	3	2	0.1	2.00653648396795	0.298919923220545	48.2737161252448	0.397876291989664	0.0830952380952381	0.12617277776185	-0.0588004822558935
m4	1	Egg	3	2	0.1	1.68615054620275	0.392807094381922	52.6355324489489	0.54212962962963	0.218928571428571	0.185665986677052	0.0598168889619954
m5	1	Egg	3	2	0.1	1.44254253831088	0.309606325643167	41.3151298007953	0.69453431372549	0.258	0.180074806752461	0.122212158825362
m6	1	Egg	3	2	0.1	1.13569288856213	0.345636407494094	44.43354404336	0.842716315453384	0.496738095238095	0.225618160284102	0.357943687097008
m7	1	Egg	3	2	0.1	1.2343576362494	0.336090279176108	39.502705460105	0.783270202020202	0.485833333333333	0.267143670598314	0.357151405618952
m1	2	Egg	3	2	0.1	1.4309693539154	0.499922051844546	65.0801152679135	0.728514660493827	0.461285714285714	0.214007253201647	0.322407081393667
m2	2	Egg	3	2	0.1	1.49587280177255	0.467507071184372	66.7481957155845	0.709902426160337	0.373904761904762	0.21132851265208	0.24157213782391
m3	2	Egg	3	2	0.1	1.81032987964875	0.417326992553584	41.8713239433086	0.510976702508961	0.224	0.19628022296178	0.0458233547031333
m4	2	Egg	3	2	0.1	1.65622427660995	0.408623067914826	44.470732989163	0.644244281045752	0.250690476190476	0.186033228118835	0.102227257428822
m5	2	Egg	3	2	0.1	1.47071370397103	0.411700589581252	35.3151926236714	0.671277454780362	0.312	0.19649110465554	0.165383329216214
m6	2	Egg	3	2	0.1	1.20334030580721	0.401092008786535	44.4293242246619	0.7677913647343	0.460595238095238	0.225513499211414	0.313731678581433
m7	2	Egg	3	2	0.1	1.21802112944368	0.326808495935569	44.484070054047	0.795692883895131	0.48197619047619	0.212038414920401	0.340558410140197
m1	3	Egg	3	2	0.1	1.33141342482049	0.521924409162217	47.7149100508744	0.766189759036145	0.394238095238095	0.217615932145054	0.247267988801199
m2	3	Egg	3	2	0.1	1.378709251181	0.446027145071325	41.8122172535299	0.779365684281843	0.3175	0.200411683474732	0.166313951573025
m3	3	Egg	3	2	0.1	1.71407686134753	0.29493333830936	42.3462004373097	0.524726903870162	0.205761904761905	0.182434306744961	0.0214825368970779
m4	3	Egg	3	2	0.1	1.58924300433215	0.432201869998646	45.9559363038701	0.620330056179775	0.272452380952381	0.190908076687979	0.111531019645148
m5	3	Egg	3	2	0.1	1.38523312908483	0.331886295879051	41.3961852085068	0.686380208333333	0.279595238095238	0.171772027476788	0.140036663438105
m6	3	Egg	3	2	0.1	1.18902730602221	0.455489206213309	41.7176523916085	0.818477746212121	0.428428571428571	0.246865602716398	0.284316717436265
m7	3	Egg	3	2	0.1	1.26071476243035	0.296161368105518	36.7301167277991	0.793933588761175	0.387261904761905	0.205019965296287	0.233694849564117
m1	4	Egg	3	2	0.1	1.06146950360326	0.435779255190901	52.3987593896412	0.856848958333333	0.411190476190476	0.224888025001131	0.271294545308789
