Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Habitat	6	2	0.1	0.876358571693853	0.398208565297906	60.1895732679641	0.879551145169832	0.750945165945166	0.14106179955081	0.659366986572781
m2	1	Habitat	6	2	0.1	0.973319834641669	0.37683488205664	80.4526910421179	0.857857652250013	0.757333333333333	0.159871540979939	0.666838514564754
m3	1	Habitat	6	2	0.1	1.52960831040645	0.289801426840854	66.4469521116256	0.634722706980519	0.343340187590188	0.136792942861977	0.171107145650919
m4	1	Habitat	6	2	0.1	1.00720363452229	0.417329481882121	58.1451983602249	0.861023106812169	0.73140873015873	0.145087936795758	0.631627174722775
m5	1	Habitat	6	2	0.1	1.24623882914851	0.304558525948005	72.4537960074241	0.776960591029341	0.442414141414141	0.132685880639639	0.293050299567353
m6	1	Habitat	6	2	0.1	0.892858070817629	0.283417668226967	67.7103797946959	0.892111625514403	0.666824314574315	0.164891463574235	0.561438303862886
m7	1	Habitat	6	2	0.1	0.815315244678725	0.24659844763782	47.3359385194368	0.88730217502405	0.753934704184704	0.125742275310176	0.664436288669736
m1	1	Host	2	2	1e-04	0.555393134738402	0.303352922969294	373.673564448926	0.990647546897547	0.503744338994339	0.172233528605504	0.468999697638
m2	1	Host	2	2	1e-04	0.419195035917069	0.242540190631549	349.475718299531	0.987709235209235	0.513376401376401	0.159980570375704	0.47745281082399
m3	1	Host	2	2	1e-04	1.72344846533463	0.549055449464308	276.194389947909	0.900901875901876	0.254099705849706	0.120751607886831	0.218048235370098
m4	1	Host	2	2	0.1	1.3777523165108	0.215079381231887	329.680271157229	0.954044412377746	0.361435592185592	0.136078949281439	0.323626541790922
m5	1	Host	2	2	1e-04	1.96222442301555	0.665916031623163	200.794243262701	0.858571428571429	0.142941738816739	0.0910063802707854	0.112882886134576
m6	1	Host	2	2	1e-04	1.0626857417985	0.377832490207664	265.54497269451	0.953578192640693	0.307151098901099	0.119154652117576	0.26526553306871
m7	1	Host	2	2	0	0.979090485720583	0.106940936582026	223.403201548785	0.95460927960928	0.27763098013098	0.108615496935212	0.234178520030136
m1	1	Egg	2	2	1e-04	0.580193734951014	0.457885525897643	160.215268723393	1	0.631234126984127	0.224844326478377	0.582201154776809
m2	1	Egg	2	2	1e-04	0.900838029244966	0.626765135431033	149.545177472707	0.981959706959707	0.518555555555556	0.195359253797558	0.462276027909481
m3	1	Egg	2	2	1e-04	1.53822959510895	0.451376222539135	120.705695969492	0.911706349206349	0.227400793650794	0.139273161971449	0.165852091268391
m4	1	Egg	2	2	1e-04	0.758258721969391	0.626620661881098	144.340673673683	0.996592775041051	0.618194444444444	0.213864516772097	0.571092111091023
m5	1	Egg	2	2	0.1	1.68568417485026	0.221266354990031	112.108323591386	0.847249589490969	0.232214285714286	0.145480248615136	0.177137388803277
m6	1	Egg	2	2	0.1	1.29096406335865	0.2935874711529	139.090354953559	0.915608465608466	0.398944444444444	0.175859045285738	0.341693070622348
m7	1	Egg	2	2	0.1	1.59084907229066	0.239519647957557	117.639556713599	0.871539682539683	0.338206349206349	0.155574666379476	0.275702969386728
m1	2	Habitat	6	2	0.1	0.660146710917605	0.319699025754533	83.7898871089189	0.947247420634921	0.806019369519369	0.124033544946378	0.732599156998206
m2	2	Habitat	6	2	0.1	0.690225106546533	0.3182262038825	81.3959002802409	0.929765557359307	0.837109862359862	0.129345019693283	0.776317255938432
m3	2	Habitat	6	2	0.1	1.3342048852456	0.399699798562897	59.2852142963596	0.746981638389483	0.562592435342435	0.190494195894826	0.417821441317666
m4	2	Habitat	6	2	0.1	0.962899486564448	0.326559927077393	64.0928728500201	0.872871916335979	0.715371572871573	0.156442542758919	0.617369235829121
m5	2	Habitat	6	2	0.1	1.19470407795353	0.273545165676733	72.3598003715524	0.795478299362674	0.452702824952825	0.13281862246837	0.303394051984228
m6	2	Habitat	6	2	0.1	0.642923850347057	0.23615591249766	69.8141906512261	0.950626901455026	0.815215895215895	0.119297435208076	0.744084258668426
m7	2	Habitat	6	2	0.1	0.642720531844261	0.257697218597824	67.7343312652775	0.939309872868901	0.853758658008658	0.144222519249595	0.797871691411954
m1	2	Host	2	2	1e-04	0.56645024140059	0.310388559946095	353.195840231617	0.983080808080808	0.47473162948163	0.165592718286938	0.437836181849094
m2	2	Host	2	2	1e-04	0.782532128268525	0.401143144427775	326.909440029927	0.979917304917305	0.489893412143412	0.157380900827923	0.453565341124981
m3	2	Host	2	2	1e-04	1.74011624822209	0.431546703035499	213.600238653646	0.874656084656085	0.221565129315129	0.115233046700143	0.183374001370834
m4	2	Host	2	2	0.1	1.42330264961847	0.245057812383861	287.61904888877	0.921167027417027	0.348345071595072	0.150007890693464	0.311679288242215
m5	2	Host	2	2	0.1	2.09080360831124	0.203889756156445	232.121735655344	0.841630591630592	0.123223415473415	0.0939225586961982	0.090630352603347
m6	2	Host	2	2	0.1	1.35196367533568	0.208900716352892	243.364057499972	0.961422258297258	0.291777472527473	0.120224111559249	0.249510544496725
m7	2	Host	2	2	0	0.839519274100821	0.105232771008382	269.834868681766	0.959480519480519	0.257022033522034	0.117615690426889	0.216593284519409
m1	2	Egg	2	2	0.1	1.03953723667557	0.301161007551582	167.843888376427	0.925967261904762	0.422472222222222	0.167445173001583	0.364247954038055
m2	2	Egg	2	2	0.1	0.937752448640271	0.246238133011991	151.91690568078	0.937896825396825	0.506821428571429	0.189725014036726	0.445884343041401
m3	2	Egg	2	2	1e-04	1.44072803410677	0.420665466043453	109.277726841457	0.892818740399386	0.27859126984127	0.145024624447014	0.215535913317597
m4	2	Egg	2	2	0.1	1.15421499982242	0.230161467070423	151.953265424377	0.923299319727891	0.417723665223665	0.210738938875023	0.361420829181731
m5	2	Egg	2	2	0.1	1.95996871769223	0.293187810827863	110.324223082743	0.746291208791209	0.20525	0.14908184536897	0.144195391574282
m6	2	Egg	2	2	0.1	1.46465745245921	0.251839199480566	131.095425233402	0.833058608058608	0.354809523809524	0.173965699000161	0.295682371380946
m7	2	Egg	2	2	0.1	1.57023893140006	0.247279266816205	145.953025233168	0.860497835497836	0.305650793650794	0.151484320752158	0.245874110729251
m1	3	Habitat	6	2	0.1	1.12481123035326	0.374263239645235	83.0430564579031	0.822821494708995	0.594792207792208	0.149727927243557	0.458152652591883
m2	3	Habitat	6	2	0.1	0.975374601121009	0.358297091355228	79.7966111020187	0.850072097462722	0.638305916305916	0.18264774399931	0.516302537356387
m3	3	Habitat	6	2	0.1	1.343128052306	0.364138432744785	60.2896886931254	0.755040830928331	0.45994733044733	0.145947049270422	0.308014619840366
m4	3	Habitat	6	2	0.1	1.23963106780807	0.381347376449075	69.8185190150623	0.789576050685426	0.579686507936508	0.17345694015252	0.450379089213792
m5	3	Habitat	6	2	0.1	1.38725097837792	0.257668755276886	77.2487966015094	0.71303207565676	0.396784271284271	0.155531818510794	0.230450640649508
m6	3	Habitat	6	2	0.1	1.14117192406349	0.317089394864102	75.5642102986913	0.821384659637501	0.557864718614719	0.170426001621925	0.417810217635591
m7	3	Habitat	6	2	0.1	1.06090932975638	0.287562242943117	74.9519846524452	0.817013913690476	0.498232323232323	0.153398210761194	0.341477431092697
m1	3	Host	2	2	0.1	0.996703518021989	0.220964886861509	392.662542008148	0.97135241301908	0.438074342324342	0.148583593247036	0.401091195660431
m2	3	Host	2	2	1e-04	0.902607231483737	0.682934079260104	330.059044832562	0.972021805355139	0.476351176601177	0.162014018701219	0.440565491178503
m3	3	Host	2	2	1e-04	1.69281338228508	0.353652406133274	277.104085443032	0.899306249306249	0.219488816738817	0.107372910656181	0.18468813450272
m4	3	Host	2	2	0.1	1.48269170229838	0.207766478376465	313.618099582837	0.920887445887446	0.40490626040626	0.129617905808128	0.365800850680788
m5	3	Host	2	2	0.1	2.22194786729614	0.124828165998992	236.548162470555	0.809632034632035	0.124457903207903	0.104906495298502	0.093034996108099
m6	3	Host	2	2	0.1	1.59231624938185	0.230568726954813	269.829589393749	0.923915172129458	0.287636585636586	0.138256812543778	0.249139818547207
m7	3	Host	2	2	1e-04	1.58482660063468	0.35182605716047	226.643536928487	0.94537962037962	0.2537722000222	0.122807101986636	0.214428068888115
m1	3	Egg	2	2	0.1	1.08951801496538	0.321929690272396	180.033732991251	0.941534391534392	0.452555555555556	0.192543745688563	0.3919814701224
m2	3	Egg	2	2	1e-04	0.900664101817619	0.680160397327653	149.821519982269	0.977636054421769	0.518119047619048	0.201307251101817	0.46257302179704
m3	3	Egg	2	2	1e-04	1.50529325137788	0.534705921801952	145.406347079053	0.920068027210884	0.262972222222222	0.143184934880133	0.197292788964993
m4	3	Egg	2	2	0.1	1.29719710278489	0.256284844727564	163.819085034456	0.927380952380952	0.393650793650794	0.180446650102505	0.333242563804684
m5	3	Egg	2	2	0.1	2.08387601673353	0.288002690789933	135.418788329376	0.766369047619048	0.186464285714286	0.142780082887355	0.132588715463922
m6	3	Egg	2	2	0.1	1.67889323213634	0.360577035560047	143.95593630273	0.8175983436853	0.322861111111111	0.143741007114849	0.254066476366132
m7	3	Egg	2	2	0.1	1.56788849131642	0.259617478584062	117.639556709404	0.872167487684729	0.33056746031746	0.161854968880671	0.266680834052187
m1	4	Habitat	6	2	0.1	1.02030501186277	0.375932195186287	76.7178002793048	0.837565104166667	0.577350649350649	0.173177317649501	0.440795764500215
m2	4	Habitat	6	2	0.1	1.08334793920638	0.418976061697024	70.7517074329249	0.840446149741462	0.607262626262626	0.141894630217914	0.474000557689584
m3	4	Habitat	6	2	0.1	1.48075142518917	0.322530733768519	66.2538599408083	0.697555092592593	0.403409812409812	0.151219645960262	0.239143867674606
m4	4	Habitat	6	2	0.1	1.32943737965016	0.446395250237906	68.6771660718484	0.771119221981722	0.524107004107004	0.161546854319601	0.374543698480228
m5	4	Habitat	6	2	0.1	1.40960803423826	0.265870384402158	64.8656227968579	0.664966815476191	0.319429292929293	0.131336610840994	0.125675487164654
m6	4	Habitat	6	2	0.1	1.04555230263631	0.335418440456537	63.2199757411114	0.835643998015873	0.596397824397824	0.127114525906634	0.457838894493051
m7	4	Habitat	6	2	0.1	1.04513531064244	0.357445171610734	61.0419254553334	0.844102482113846	0.578670190920191	0.163888219226825	0.446233694873549
m1	4	Host	2	2	0.1	0.932479852575186	0.162073240432495	378.190429443145	0.968755010421677	0.460300033300033	0.164410852257635	0.423798130375795
m2	4	Host	2	2	1e-04	0.936792783845702	0.448650277048278	330.067005455056	0.971350871350871	0.472694638694639	0.163599041601024	0.436167599048774
m3	4	Host	2	2	1e-04	1.63695029752426	0.534990346356566	216.004660196281	0.884093314093314	0.221749944499945	0.117594712187623	0.184873876933087
m4	4	Host	2	2	0.1	1.349164550494	0.173382451228378	291.279674498799	0.933621933621934	0.344122433122433	0.134821142552231	0.305096521776263
m5	4	Host	2	2	0.1	2.47018239677842	0.138513552435532	208.342389636526	0.731084656084656	0.0983310023310023	0.0819876504926386	0.0711212892176664
m6	4	Host	2	2	0.1	1.43161926175353	0.244463846909305	269.153745642976	0.947795414462081	0.270976634476634	0.129192749147116	0.231528490846044
m7	4	Host	2	2	0.1	1.57948569441201	0.202713484745317	270.24064152194	0.933134920634921	0.240462232212232	0.108673246373588	0.203243753724929
m1	4	Egg	2	2	1e-04	0.977215684716612	0.568937833699281	149.744051220069	0.985873015873016	0.505480158730159	0.212650342328644	0.446624551705883
m2	4	Egg	2	2	1e-04	1.07301840485094	0.941397241878497	149.84764185168	0.937844611528822	0.479075396825397	0.212185706147959	0.425465874585291
m3	4	Egg	2	2	0.1	1.83699059991738	0.235093761804392	110.015332064976	0.85508658008658	0.147793650793651	0.119621450108072	0.0984379572178694
m4	4	Egg	2	2	0.1	1.10748036035027	0.262805293290758	133.865092054173	0.955578231292517	0.515309523809524	0.192505120332903	0.458253774020594
m5	4	Egg	2	2	0.1	1.66942082258047	0.198980946357564	109.525376530021	0.873809523809524	0.241166666666667	0.135442074220038	0.176577898068127
m6	4	Egg	2	2	0.1	1.27738337970047	0.29218128050636	128.804237641242	0.946861471861472	0.31109126984127	0.149148370294392	0.249311146245546
m7	4	Egg	2	2	0.1	1.56966128969153	0.328569536772791	117.639556714641	0.867176870748299	0.301281746031746	0.149216186951597	0.24429007949671
m1	5	Habitat	6	2	0.1	0.996292053149556	0.368063947802365	57.9054157552959	0.84162705026455	0.723401653901654	0.141359577839315	0.623473628246574
m2	5	Habitat	6	2	0.1	0.942809419029141	0.315284586447534	77.111432872057	0.852025942460317	0.720910173160173	0.155045404604064	0.61906291771224
m3	5	Habitat	6	2	0.1	1.33073105122233	0.306582583193172	57.6753669011378	0.71298704004329	0.596453463203463	0.153740579338771	0.457909870988015
m4	5	Habitat	6	2	0.1	1.1141895145484	0.404477531060444	58.1807579639911	0.824123590818903	0.709151875901876	0.16605381824005	0.60757168690786
m5	5	Habitat	6	2	0.1	1.12861938723714	0.247901065132679	68.183456451005	0.789861689814815	0.470958458208458	0.164626019181196	0.32087424943012
m6	5	Habitat	6	2	0.1	0.884506949766002	0.330606939034346	48.6160839812488	0.855808076973574	0.703160894660895	0.172337368492445	0.599241546812643
m7	5	Habitat	6	2	0.1	0.944875278076844	0.219530561580919	50.3065730247074	0.845512891303708	0.583534632034632	0.145594974009574	0.453869893479036
m1	5	Host	2	2	0.1	1.02127013242622	0.132178745576248	302.907041777147	0.936552028218695	0.481496475746476	0.136017909603982	0.441760783313475
m2	5	Host	2	2	0.1	1.16320906441671	0.158097910864281	303.040361615372	0.963048340548341	0.450194721944722	0.141649457491201	0.411128540496531
m3	5	Host	2	2	0.1	2.06278493179797	0.332252989244604	216.996952170266	0.837942921276255	0.203757215007215	0.106114703405279	0.170171161744535
m4	5	Host	2	2	0.1	1.22687494974601	0.152750623045526	256.649401716134	0.933516483516484	0.426949689199689	0.157350575420816	0.38965270911992
m5	5	Host	2	2	0	1.51858643453787	0.239945240002162	197.62397718223	0.878198653198653	0.175769230769231	0.107197078742064	0.143494117118278
m6	5	Host	2	2	0	0.762774853367486	0.0978910306577342	277.5259147993	0.964935064935065	0.334804917304917	0.138740803640991	0.290072195194446
m7	5	Host	2	2	0	0.959226999145529	0.147978101194194	223.403201450583	0.961031746031746	0.278560037185037	0.12300784821829	0.237177010206108
m1	5	Egg	2	2	0.1	0.980543643753224	0.21919651457039	164.027425344911	0.955128205128205	0.479397907647908	0.187526688359983	0.421691905402276
m2	5	Egg	2	2	1e-04	0.871626496843035	0.589918121107769	149.821521621474	0.973686371100164	0.492559523809524	0.209018022328088	0.437467532592288
m3	5	Egg	2	2	1e-04	1.56118989547569	0.425335868330949	145.406347079053	0.915714285714286	0.215638888888889	0.114040763594493	0.147134736627343
m4	5	Egg	2	2	0.1	1.07470162222712	0.264356559948722	148.148613824963	0.964697802197802	0.465988095238095	0.199722471020912	0.411744340569314
m5	5	Egg	2	2	0.1	1.92406851329243	0.262838488791088	113.193448379379	0.820879120879121	0.181781746031746	0.13443634961904	0.125817025597118
m6	5	Egg	2	2	0.1	1.50009184371058	0.341932940120383	142.909440007652	0.872887864823349	0.291761904761905	0.187665687406585	0.236825484723905
m7	5	Egg	2	2	0.1	1.57977351345499	0.26186021937469	117.969265210834	0.869047619047619	0.282126984126984	0.179402905567728	0.224366662024583
m1	6	Habitat	6	2	0.1	0.356702439737063	0.289040066321572	48.1137339897158	0.980608833039389	0.919252525252525	0.12721853799636	0.889085563037987
m2	6	Habitat	6	2	0.1	0.448221960613308	0.295550559117281	42.1622242535474	0.982290785834536	0.921573953823954	0.132826776200216	0.893975760880966
m3	6	Habitat	6	2	0.1	0.9503114280506	0.324800561349873	48.1295606001721	0.857986689814815	0.59894363969364	0.133760647136125	0.466238539707998
m4	6	Habitat	6	2	0.1	0.682074002099786	0.388467201019628	70.981390435557	0.940537676700871	0.826044372294372	0.148416959247168	0.763663437051541
m5	6	Habitat	6	2	0.1	1.07496258280763	0.249773838751236	54.1291440952286	0.820961375661376	0.386431457431457	0.123854163862032	0.21974558406482
m6	6	Habitat	6	2	0.1	0.692001579109016	0.317252564774762	56.7239768106552	0.913175252525253	0.711559884559885	0.118239613083988	0.606467166803461
m7	6	Habitat	6	2	1e-04	0.466900898357228	0.547393667648036	37.6496467308188	0.929204365079365	0.732007936507936	0.136118281186141	0.638764049110097
m1	6	Host	2	2	0.1	1.1551888484697	0.201229899642887	354.364220011785	0.961755952380952	0.39035150960151	0.141361465122857	0.350095166536004
m2	6	Host	2	2	1e-04	0.676652989119332	0.316486467733795	328.453373578052	0.970555555555556	0.445372738372738	0.162543222583478	0.406249614585102
m3	6	Host	2	2	1e-04	1.82017145731336	0.670176967545864	216.004660644297	0.868185097730552	0.202176601176601	0.0993515135954824	0.165671976446726
m4	6	Host	2	2	0.1	1.57151952537445	0.232228546149613	284.18964570344	0.916092241092241	0.361189116439116	0.148207719264949	0.322057600356595
m5	6	Host	2	2	0.1	2.3541946704781	0.345838521660387	237.823135676495	0.745093795093795	0.151911754911755	0.0978636007547351	0.121293372010862
m6	6	Host	2	2	0.1	1.54010454683632	0.245865657077282	282.066476255053	0.911933106575964	0.266036491286491	0.122101221941078	0.224990700268473
m7	6	Host	2	2	1e-04	1.25679486444672	0.435772558111934	270.303464497245	0.921079846079846	0.245217254967255	0.100526625765624	0.205369086006455
m1	6	Egg	2	2	0.1	1.37237370896039	0.43860646328082	220.439155317151	0.901147959183673	0.384019841269841	0.203294808771861	0.32007471505925
m2	6	Egg	2	2	0.1	1.08297349763298	0.296955475362297	164.10217451424	0.961981566820276	0.480337301587302	0.196767666483011	0.423622651468993
m3	6	Egg	2	2	0.1	1.61751797801139	0.170146852573206	145.406347079053	0.909700176366843	0.17827380952381	0.144746410027704	0.124182368536145
m4	6	Egg	2	2	0.1	1.48942516861555	0.350732522599856	196.065565469909	0.910897435897436	0.33268253968254	0.183002751063707	0.273493708506793
m5	6	Egg	2	2	0.1	2.39291136064051	0.275933740947748	118.02581929693	0.66046176046176	0.150027777777778	0.122716969624793	0.0954443696683785
m6	6	Egg	2	2	0.1	1.78446112987846	0.363145806308902	169.549120075062	0.795578231292517	0.269166666666667	0.160410433729743	0.207155623106619
m7	6	Egg	2	2	0.1	1.67053059322391	0.254654110192955	119.002230183399	0.829642857142857	0.281615079365079	0.155027307189108	0.220501006597774
m1	7	Habitat	6	2	0.1	0.917981237869222	0.341400018473579	63.9054157232884	0.863239484126984	0.720602869352869	0.167769788495567	0.623786711245732
m2	7	Habitat	6	2	0.1	1.03523855525118	0.383562460360276	82.3088782003121	0.841953555061194	0.690480519480519	0.196573644414957	0.58965121249992
m3	7	Habitat	6	2	0.1	1.36310237193439	0.30873110564516	64.4054836297472	0.739189042207792	0.541343795093795	0.196526825228676	0.397733276278375
m4	7	Habitat	6	2	0.1	1.02319951026503	0.359678525693183	64.1245574869711	0.865254549212362	0.706761849261849	0.181576260223785	0.610914615854147
m5	7	Habitat	6	2	0.1	1.14583934963337	0.267940204247211	72.0058349585199	0.800813777505697	0.456816738816739	0.142499942106579	0.30557805818859
m6	7	Habitat	6	2	0.1	0.86142795730497	0.283036320097882	73.8656737590794	0.89161185515873	0.751784271284271	0.14814478891692	0.666596501132017
