Model	Iteration	Variable	Subsampled	MinObs	decay	logLoss	logLossSD	AIC	AUC	Accuracy	AccuracySD	Kappa
m1	1	Egg	2	2	0.1	0.880133398506833	0.21944083617435	73.9405434956595	0.916666666666667	0.474809523809524	0.239371323039892	0.387729060093716
m2	1	Egg	2	2	1e-04	0.459943754037427	0.278734277160969	65.7227613119237	0.965447154471545	0.4735	0.238707883035144	0.385771590728112
m3	1	Egg	2	2	0.1	1.60332314991271	0.20215490061609	54.5610293364934	0.731395348837209	0.144166666666667	0.156156397328086	0.0686258059928137
m4	1	Egg	2	2	0.1	1.21297261385699	0.295294093713472	56.591673775193	0.883771929824561	0.389214285714286	0.236617698994013	0.310736032375759
m5	1	Egg	2	2	0.1	1.68932515133516	0.331584282526598	49.9134642594511	0.768085106382979	0.202761904761905	0.1837919652072	0.119099698479326
m6	1	Egg	2	2	1e-04	0.788457644658841	0.707614322959769	63.8190850352606	0.925724637681159	0.555119047619048	0.23236721561643	0.47164619642863
m7	1	Egg	2	2	0	0.291316922526743	0.159900950420815	55.7829517165079	0.96869918699187	0.577833333333333	0.236605898681087	0.504395063163605
m1	2	Egg	2	2	1e-04	0.772046084063544	0.47108139809278	75.6576413441028	0.944927536231884	0.452666666666667	0.256626215711388	0.363571078963662
m2	2	Egg	2	2	0.1	1.21810583037098	0.412142236880449	82.0983069960319	0.893333333333333	0.409047619047619	0.230542298685263	0.318146239523477
m3	2	Egg	2	2	0.1	1.69158216308707	0.268317929417691	54.5610293364934	0.708914728682171	0.12002380952381	0.150091818176429	0.0403321919051517
m4	2	Egg	2	2	0.1	1.19908882069259	0.293723374492055	65.7937557996697	0.908503401360544	0.357714285714286	0.216000864017654	0.259193311734364
m5	2	Egg	2	2	0.1	1.42126013362265	0.264941040448311	70.3793325622889	0.816203703703704	0.259428571428571	0.172363279357887	0.157700643631456
m6	2	Egg	2	2	1e-04	0.664688719584416	0.305070753453118	90.5912857967599	0.975	0.376809523809524	0.239881376389066	0.296140125199259
m7	2	Egg	2	2	0.1	1.30790467962481	0.271128650221501	65.5451774954345	0.863333333333333	0.405	0.224502192790853	0.325161847104302
m1	3	Egg	2	2	1e-04	0.321106554961114	0.180573498986388	77.4986706836541	0.963008130081301	0.547238095238095	0.250233341251457	0.47324271862577
m2	3	Egg	2	2	1e-04	0.480690940789568	0.282681269474022	65.7227610957155	0.96869918699187	0.483714285714286	0.243333836924314	0.400178274623927
m3	3	Egg	2	2	0.1	1.68200053064941	0.276221677871198	54.5610335741553	0.726356589147287	0.124119047619048	0.146932278480028	0.0512893798855766
m4	3	Egg	2	2	1e-04	0.571953607323244	0.226920393721108	55.7523305208845	0.958527131782946	0.460880952380952	0.18787950286691	0.359705850542632
m5	3	Egg	2	2	0	0.882945212489786	0.184826393653052	46.8142719982047	0.874074074074074	0.273	0.222942611969941	0.176419508028204
m6	3	Egg	2	2	0	0.342658295027636	0.186918634701273	69.446632717789	0.961274509803922	0.525380952380952	0.223584573738599	0.425751829925568
m7	3	Egg	2	2	0	0.299414616168832	0.16742251165786	55.7829517165079	0.96078431372549	0.574119047619048	0.260887142593181	0.497434246699592
m1	4	Egg	2	2	0.1	0.912196507241593	0.254652358366435	83.9505474705228	0.939930555555556	0.481190476190476	0.239633200200549	0.39097130779459
m2	4	Egg	2	2	1e-04	0.461918792052904	0.320777407565791	65.7227613119237	0.953070175438597	0.509428571428571	0.240603650399063	0.417552472442808
m3	4	Egg	2	2	0.1	1.64635423511566	0.216890381007871	54.5610293364934	0.73780487804878	0.144761904761905	0.164252772906715	0.0660167321567068
m4	4	Egg	2	2	0.1	1.42041771018201	0.32175862806839	66.5916737710073	0.813333333333333	0.279190476190476	0.193169279291479	0.192085568496075
m5	4	Egg	2	2	0.1	1.71580992139592	0.315216485853892	72.3499038547827	0.69017094017094	0.218714285714286	0.180058111511044	0.135899229993622
m6	4	Egg	2	2	1e-04	0.938128037497688	0.786291845578994	73.819085039405	0.921739130434783	0.480404761904762	0.223263088780665	0.388076404520858
m7	4	Egg	2	2	0	0.314206093079531	0.176668766393729	55.7829517165079	0.946124031007752	0.530547619047619	0.257249958767489	0.432733769640419
m1	5	Egg	2	2	0.1	1.13253467134814	0.262201333318661	98.8022826460931	0.902127659574468	0.37327380952381	0.210790965182978	0.286704574620146
