ID	Hap	KDist	Gens	Habitat	KCluster
141_CC_UNK_RUS_M	W1	D13	NA	NA	K2
008_CC_RED_FIN_M	W1	D5	P. phoenicurus	Forest	K2
009_CC_RED_FIN_M	W1	D5	P. phoenicurus	Forest	K2
010_CC_RED_FIN_F	W1	D5	P. phoenicurus	Forest	K2
022_CC_RED_FIN_F	W1	D5	P. phoenicurus	Forest	K2
023_CC_RED_FIN_F	W1	D5	P. phoenicurus	Forest	K2
024_CC_RED_FIN_M	W1	D5	P. phoenicurus	Forest	K2
043_CC_RED_FIN_F	W1	D5	P. phoenicurus	Forest	K2
053_CC_RED_FIN_F	W1	D5	P. phoenicurus	Forest	K2
085_CC_RED_FIN_M	W1	D5	P. phoenicurus	Forest	K2
086_CC_RED_FIN_F	W1	D5	P. phoenicurus	Forest	K2
092_CC_RED_FIN_M	W1	D5	P. phoenicurus	Forest	K2
182_CB_GBC_CHN_M	W2	D3	S. ferreus	Edge	K1
215_CB_GBC_CHN_F	W2	D3	S. ferreus	Edge	K1
216_CB_GBC_CHN_F	W2	D3	S. ferreus	Edge	K1
230_CB_ASC_CHN_M	W2	D3	S. maurus	Edge	K1
004_CB_ATP_CHN_F	W2	D3	Su. alphonsiana	Savannas	K1
006_CB_ATP_CHN_F	W2	D3	Su. alphonsiana	Savannas	K1
007_CB_ATP_CHN_F	W2	D3	Su. alphonsiana	Savannas	K1
264_CC_DRD_RUS_M	W2	D14	P. auroreus	Savannas	K3
267_CC_DRD_RUS_M	W2	D14	P. auroreus	Savannas	K3
143_CC_UNK_RUS_M	W2	D10	NA	NA	K3
260_CC_SRT_RUS_F	W2	D7	C. calliope	Savannas	K3
296_CC_UNK_RUS_M	W2	D7	NA	NA	K3
259_CC_SRT_RUS_F	W2	D7	C. calliope	Savannas	K3
389_CC_ACW_RUS_F	W2	D10	NA	NA	K3
277_CC_UNK_RUS_F	W2	D10	NA	NA	K3
276_CC_UNK_RUS_F	W2	D10	NA	NA	K3
252_CC_SRT_RUS_F	W2	D13	C. calliope	Forest	K2
255_CC_SRT_RUS_M	W2	D13	C. calliope	Forest	K2
256_CC_SRT_RUS_F	W2	D13	C. calliope	Forest	K2
183_CB_OMR_CHN_M	W3	D3	NA	Edge	K1
185_CB_OMR_CHN_F	W3	D3	Co. saularis	Edge	K1
217_CB_ASC_CHN_F	W3	D3	NA	Edge	K1
005_CB_ORW_CHN_M	W3	D3	A. orientalis	Wetlands	K5
104_CB_ORW_CHN_M	W3	D3	NA	Wetlands	K5
105_CB_ORW_CHN_F	W3	D3	NA	Wetlands	K5
108_CB_ORW_CHN_F	W3	D3	NA	Wetlands	K5
164_CC_ORW_CHN_M	W3	D14	A. orientalis	Savannas	K5
186_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
188_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
189_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
231_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
232_CC_ORW_CHN_M	W3	D14	A. orientalis	Savannas	K5
193_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
195_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
202_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
206_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
208_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
196_CC_ORW_CHN_F	W3	D14	A. orientalis	Croplands	K5
199_CC_ORW_CHN_F	W3	D14	A. orientalis	Croplands	K5
200_CC_ORW_CHN_F	W3	D14	A. orientalis	Croplands	K5
207_CC_ORW_CHN_F	W3	D14	A. orientalis	Croplands	K5
194_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
169_CC_ORW_CHN_M	W3	D14	A. orientalis	Savannas	K5
197_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
175_CC_ORW_CHN_M	W3	D14	A. orientalis	Croplands	K5
244_CC_ORW_CHN_M	W3	D14	A. orientalis	Croplands	K5
238_CC_ORW_CHN_F	W3	D14	A. orientalis	Croplands	K5
242_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
240_CC_ORW_CHN_M	W3	D14	A. orientalis	Savannas	K5
205_CC_ORW_CHN_F	W3	D14	A. orientalis	Savannas	K5
162_CC_UNK_MON_M	W4	D11	NA	NA	K3
159_CC_UNK_MON_M	W4	D11	NA	NA	K3
