ID	Host_Optatus	Unrelated	IDNum	HostParents	HostParentShort	HostCommon	EggGens	EggClade	Gens	GensEvidence	Species	Species_Latin	Shape	SpeciesShort	Sex	Plumage	MeanCoverage	MedianCoverage	Coverage_mtDNA	Coverage_Ratio_mtDNAAutosomes	Raw_Reads_M	Mapped_Reads_M	Percent_Reads_Mapped	Raw_Bases_Gb	Mapped_Bases_Gb	Bases_Mapped_Percent	Latitude	Longitude	Age	Source	Sampling_Year	Country	Habitat	Hap
001_CB_ORW_CHN_F	1	1	001	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	NA	HostParents	Common cuckoo	C. c. bakeri	22	CC	F	Missing	15.02	15	233.27	15.58249833	181.05662	177.362982	0.979599542	18.28671862	17.90758822	0.979267445	47.5166	124.6166	Young	Blood	2008	CHN	Croplands	W3
002_CB_ORW_CHN_M	1	1	002	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	NA	HostParents	Common cuckoo	C. c. bakeri	22	CC	M	Missing	17.23	17	89.05	5.189393939	207.26379	203.572972	0.982192654	20.93364279	20.55213264	0.981775262	47.5166	124.6166	Young	Blood	2008	CHN	Croplands	W3
003_CB_ATP_CHN_M	1	0	003	Sinosuthora_alphonsiana	Su. alphonsiana	Ashy-throated Parrotbill	Su. alphonsiana	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	M	Missing	14.88	14	24.57	1.663507109	179.807748	176.1055	0.979409964	18.16058255	17.77600397	0.978823445	28.1	107.0333	Young	Blood	2008	CHN	Savannas	W2
004_CB_ATP_CHN_F	1	1	004	Sinosuthora_alphonsiana	Su. alphonsiana	Ashy-throated Parrotbill	Su. alphonsiana	E1	white	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	14.49	14	151.48	10.51944444	174.691968	171.440166	0.981385509	17.64388877	17.30482072	0.980782692	28.1	107.0333	Young	Tissue	2008	CHN	Savannas	W2
005_CB_ORW_CHN_M	1	0	005	Acrocephalus_orientalis	A. orientalis	Oriental Reed Warbler	A. orientalis	E2	NA	HostParents	Common cuckoo	C. c. bakeri	22	CC	M	Missing	18.84	18	79.92	4.260127932	226.990866	222.63021	0.980789289	22.92607747	22.47490409	0.980320516	31.509501	121.962126	Young	Blood	2012	CHN	Wetlands	W3
006_CB_ATP_CHN_F	1	1	006	Sinosuthora_alphonsiana	Su. alphonsiana	Ashy-throated Parrotbill	Su. alphonsiana	E1	pure_blue	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	13.83	13	318.25	23.11183733	167.014954	163.531556	0.979143197	16.86851035	16.50752765	0.978600203	28.1	107.0333	Young	Feather	2008	CHN	Savannas	W2
007_CB_ATP_CHN_F	1	1	007	Sinosuthora_alphonsiana	Su. alphonsiana	Ashy-throated Parrotbill	Su. alphonsiana	E1	white	Observed	Common cuckoo	C. c. bakeri	22	CC	F	Missing	13	13	51.57	3.982239382	156.955794	153.789714	0.979828206	15.85253519	15.52572654	0.979384455	28.1	107.0333	Young	Blood	2008	CHN	Savannas	W2
008_CC_RED_FIN_M	1	1	008	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	12.44	13	44.18	3.562903226	149.490738	146.755684	0.981704191	15.09856454	14.81731107	0.981372172	61.42	28.53	Young	Blood	2007	FIN	Forest	W1
009_CC_RED_FIN_M	1	1	009	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.73	14	24.89	1.819444444	165.786116	162.462766	0.979953991	16.74439772	16.40347493	0.979639591	61.42	28.53	Young	Blood	2007	FIN	Forest	W1
010_CC_RED_FIN_F	1	1	010	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	20.54	20	22.43	1.095749878	248.02	243.106588	0.980189452	25.05002	24.54525535	0.979849731	61.42	28.53	Young	Blood	2007	FIN	Forest	W1
013_CC_GRW_HUN_F	1	1	013	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	14.62	15	197.82	13.57721345	178.38536	172.523816	0.967141115	18.01692136	17.41811471	0.966764208	47.12	19.1	Young	Blood	2007	HUN	Croplands	W7
014_CC_GRW_HUN_F	1	1	014	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.92	14	182.19	13.13554434	170.15872	164.77774	0.968376701	17.18603072	16.63791409	0.968106852	47.12	19.1	Young	Blood	2007	HUN	Croplands	W7
015_CC_GRW_HUN_F	1	1	015	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	17.88	18	203.41	11.41470258	218.291242	211.734544	0.969963532	22.04741544	21.37959152	0.96970965	47.12	19.1	Young	Blood	2007	HUN	Croplands	W7
016_CC_GRW_HUN_F	1	1	016	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	20.54	21	332.32	16.2344895	250.023968	242.433508	0.969641071	25.25242077	24.47521238	0.96922242	47.12	19.1	Young	Blood	2007	HUN	Croplands	W5
017_CC_GRW_HUN_F	1	1	017	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	10.59	11	73.96	7.01042654	129.12281	125.242454	0.969948331	13.04140381	12.64483666	0.969591682	47.12	19.1	Young	Blood	2007	HUN	Croplands	W7
018_CC_GRW_HUN_M	1	1	018	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	11.62	12	56.41	4.87554019	141.30641	137.193508	0.970893734	14.27194741	13.85128619	0.97052531	47.12	19.1	Young	Blood	2006	HUN	Croplands	W7
019_CC_GRW_HUN_F	1	1	019	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	9.28	9	108.79	11.76108108	112.798036	109.453564	0.970349909	11.39260164	11.05070865	0.969989911	47.12	19.1	Young	Blood	2006	HUN	Croplands	W5
020_CC_GRW_HUN_F	1	1	020	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	17.03	17	148.96	8.7675103	208.412344	201.537312	0.967012357	21.04964674	20.35035453	0.96677891	47.12	19.1	Young	Blood	2006	HUN	Croplands	W7
021_CC_RED_FIN_F	1	1	021	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.75	16	62.81	4.000636943	190.257602	186.359308	0.979510443	19.2160178	18.81641409	0.979204656	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
022_CC_RED_FIN_F	1	1	022	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	18.01	19	103.21	5.746659243	217.527014	212.995158	0.979166468	21.97022841	21.50606527	0.978873085	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
023_CC_RED_FIN_F	1	0	023	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	11.27	11	23.61	2.102404274	135.438898	132.724796	0.97996069	13.6793287	13.40133025	0.979677479	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
024_CC_RED_FIN_M	1	1	024	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	18.1	19	99.68	5.522437673	219.097396	214.099528	0.97718883	22.128837	21.6178932	0.976910499	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
025_CC_RED_FIN_F	1	1	025	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	19.26	20	63.85	3.327253778	232.45582	227.237708	0.977552242	23.47803782	22.944024	0.977254751	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
026_CC_RED_FIN_F	1	1	026	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	13.58	14	77.73	5.740768095	164.216566	160.66085	0.978347398	16.58587317	16.22176531	0.97804711	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
027_CC_BRA_FIN_M	1	1	027	Fringilla_montifringilla	F. montifringilla	Brambling	F. montifringilla	E3	gens Fringilla montifringilla	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	13.46	13	66.98	4.994780015	163.184864	159.30663	0.976234107	16.48167126	16.08222125	0.975763986	67.65	24.9	Young	Blood	2006	FIN	Savannas	W6
028_CC_BRA_FIN_F	1	1	028	Fringilla_montifringilla	F. montifringilla	Brambling	F. montifringilla	E3	gens Fringilla montifringilla	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	18.83	19	459.42	24.47629196	227.492176	222.171676	0.976612382	22.97670978	22.43160921	0.976275952	67.65	24.9	Young	Blood	2007	FIN	Savannas	W6
029_CC_BRA_FIN_F	1	1	029	Fringilla_montifringilla	F. montifringilla	Brambling	F. montifringilla	E3	gens Fringilla montifringilla	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	23.82	24	4091.66	172.4256216	291.455138	282.00302	0.967569218	29.43696894	28.46849447	0.967100062	67.65	24.9	Young	Tissue	2007	FIN	Savannas	W6
030_CC_MPT_NOR_F	1	1	030	Anthus_pratensis	An. Pratensis	Meadow Pipit	An. Pratensis	E4	NA	HostParents	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.55	15	353.59	22.82698515	190.548464	184.567882	0.968613854	19.24539486	18.63248628	0.968152974	61.41666	8.8666	Young	Blood	1998	NOR	Shrublands	W7
031_CC_MPT_SWE_F	1	1	031	Anthus_pratensis	An. Pratensis	Meadow Pipit	An. Pratensis	E4	NA	HostParents	Common cuckoo	C. c. canorus	21	CC	F	Missing	34.59	33	547.76	16.16287991	396.227126	388.012116	0.979266917	49.16620093	48.21204731	0.980593302	65.97	16.21	Young	Blood	2008	SWE	Savannas	W7
032_CC_MPT_NOR_M	1	1	032	Anthus_pratensis	An. Pratensis	Meadow Pipit	An. Pratensis	E4	NA	HostParents	Common cuckoo	C. c. canorus	21	CC	M	Missing	14.07	14	51.04	3.640513552	173.09991	166.679276	0.96290793	17.48309091	16.82944861	0.962612886	61.41666	8.8666	Adult	Blood	1992	NOR	Shrublands	W7
033_CC_MPT_NOR_M	1	1	033	Anthus_pratensis	An. Pratensis	Meadow Pipit	An. Pratensis	E4	NA	HostParents	Common cuckoo	C. c. canorus	21	CC	M	Missing	15.88	16	52.3	3.303853443	193.846992	188.008344	0.969880121	19.57854619	18.98295027	0.969579155	61.41666	8.8666	Adult	Blood	2007	NOR	Shrublands	W7
034_CC_MPT_NOR_F	1	1	034	Anthus_pratensis	An. Pratensis	Meadow Pipit	An. Pratensis	E4	gens Anthus pratensis	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	20.58	21	345.52	16.85463415	251.165044	243.734782	0.970416815	25.36766944	24.60922324	0.970101857	61.23	10.71	Young	Blood	2009	NOR	Savannas	W7
035_CC_MPT_NOR_F	1	1	035	Anthus_pratensis	An. Pratensis	Meadow Pipit	An. Pratensis	E4	gens Anthus pratensis	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.75	16	1307.36	78.33193529	205.945976	198.48872	0.963790232	20.80054358	20.04099652	0.963484269	61.23	10.71	Young	Tissue	2010	NOR	Savannas	W7
036_CC_MPT_NOR_F	1	1	036	Anthus_pratensis	An. Pratensis	Meadow Pipit	An. Pratensis	E4	gens Anthus pratensis	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	19.46	19	128.49	6.63003096	238.601446	230.66498	0.966737561	24.09874605	23.28740455	0.966332626	61.23	10.71	Young	Blood	2013	NOR	Savannas	W7
037_CC_ERW_DNK_M	1	1	037	Acrocephalus_scirpaceus	A. scirpaceus	Reed Warbler	A. scirpaceus	E5	gens Acrocephalus scirpaceus	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	19.25	19	71.15	3.71152843	234.727132	227.607156	0.969667009	23.70744033	22.97726188	0.969200452	55.903545	12.446721	Young	Blood	2010	DNK	Savannas	W7
038_CC_ERW_DNK_F	1	1	038	Acrocephalus_scirpaceus	A. scirpaceus	Reed Warbler	A. scirpaceus	E5	gens Acrocephalus scirpaceus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.43	16	62.44	3.82832618	200.032528	194.222838	0.970956274	20.20328533	19.60361786	0.970318319	55.943159	11.590266	Young	Blood	2010	DNK	Croplands	W7
039_CC_ERW_DNK_F	1	1	039	Acrocephalus_scirpaceus	A. scirpaceus	Reed Warbler	A. scirpaceus	E5	gens Acrocephalus scirpaceus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	14.26	14	164.73	11.60887949	174.297346	168.724922	0.968029209	17.60403195	17.03266676	0.967543504	56.098433	12.242479	Young	Blood	2010	DNK	Croplands	W7
040_CC_ERW_DNK_M	1	1	040	Acrocephalus_scirpaceus	A. scirpaceus	Reed Warbler	A. scirpaceus	E5	gens Acrocephalus scirpaceus	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	16.54	16	72.96	4.432563791	200.78269	195.286012	0.972623746	20.27905169	19.71462118	0.972166819	55.943159	11.590266	Young	Blood	2010	DNK	Croplands	W7
042_CC_GRW_HUN_F	1	1	042	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	69.67	66	876.09	15.37269696	855.36309	831.132496	0.971672154	86.39167209	83.8768768	0.970890767	47.12	19.1	Young	Blood	2007	HUN	Croplands	W4
043_CC_RED_FIN_F	1	1	043	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	68.06	64	190.29	3.431121529	846.644034	812.00922	0.959091646	85.51104743	81.95555198	0.95842063	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
053_CC_RED_FIN_F	1	1	053	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.51	15	90.8	5.685660614	172.134508	170.959168	0.993171968	25.8201762	25.61299682	0.991976066	61.42	28.53	Young	Blood	2006	FIN	Forest	W1
054_CC_RED_FIN_F	1	1	054	Phoenicurus_phoenicurus	P. phoenicurus	Common Redstart	P. phoenicurus	E1	gens Phoenicurus phoenicurus	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	17.5	15	69.7	4.102413184	182.03093	180.207676	0.989983823	27.3046395	26.98529037	0.988304217	61.42	28.53	Young	Blood	2007	FIN	Forest	W1
056_CC_COR_BGR_F	1	1	056	Emberiza_calandra	E. calandra	Corn Bunting	E. calandra	E6	gens Sylvia/Acrocephalus?	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	14.26	11	1318.83	95.5673913	149.818658	148.214366	0.989291774	22.4727987	22.18406466	0.987151843	43.788364	23.45133	Young	Tissue	2007	BGR	Croplands	W7
057_CC_COR_BGR_F	1	1	057	Emberiza_calandra	E. calandra	Corn Bunting	E. calandra	E6	NA	HostParents	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.31	14	304.25	20.6832087	158.837456	157.51248	0.99165829	23.8256184	23.58920976	0.990077544	43.788364	23.45133	Young	Blood	2008	BGR	Croplands	W5
058_CC_COR_BGR_F	1	1	058	Emberiza_calandra	E. calandra	Corn Bunting	E. calandra	E6	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	15.83	15	1641.26	106.5753247	160.173896	158.911852	0.992120789	24.0260844	23.80410982	0.990761101	43.71	23.86	Young	Tissue	2008	BGR	Croplands	W7
059_CC_COR_BGR_M	1	1	059	Emberiza_calandra	E. calandra	Corn Bunting	E. calandra	E6	gens Emberiza_calandra/A. palustris	Observed	Common cuckoo	C. c. canorus	21	CC	M	Missing	17.63	13	799.16	47.39976275	190.112846	187.827314	0.987978024	28.5169269	28.13273071	0.986527434	43.788364	23.45133	Young	Tissue	2007	BGR	Croplands	W7
061_CC_GRW_BGR_F	1	1	061	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	19.61	18	2168.45	113.8891807	215.126208	213.575118	0.99278986	32.2689312	31.99463623	0.991499719	43.788364	23.45133	Young	Tissue	2009	BGR	Croplands	W7
062_CC_GRW_BGR_F	1	1	062	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	16.62	15	619.23	38.43761639	171.837944	170.322616	0.991181645	25.7756916	25.50597104	0.989535856	43.788364	23.45133	Young	Tissue	2006	BGR	Croplands	W7
063_CC_GRW_BGR_F	1	1	063	Acrocephalus_arundinaceus	A. arundinaceus	Great Reed Warbler	A. arundinaceus	E2	gens Acrocephalus_arundinaceus/palustris	Observed	Common cuckoo	C. c. canorus	21	CC	F	Missing	14.03	13	309.64	23.03869048	146.681388	145.470422	0.991744242	22.0022082	21.78053116	0.989924782	43.788364	23.45133	Young	Tissue	2006	BGR	Croplands	W7
