chr	start	end	Coverage	ID	Object	Species	Sex	Tech
chr_3	25511697	25515677	6.01	054_CC_RED_FIN_F__SRR11531702	Gene	Cuculus_canorus	Female	Illumina
chr_3	25512095	25512391	4.06	054_CC_RED_FIN_F__SRR11531702	CDS1	Cuculus_canorus	Female	Illumina
chr_3	25514540	25514637	7.81	054_CC_RED_FIN_F__SRR11531702	CDS2	Cuculus_canorus	Female	Illumina
chr_3	25515508	25515634	15.43	054_CC_RED_FIN_F__SRR11531702	CDS3	Cuculus_canorus	Female	Illumina
chr_W	21149910	21149957	0	054_CC_RED_FIN_F__SRR11531702	CDS1	Cuculus_canorus	Female	Illumina
chr_W	21149910	21177468	2.58	054_CC_RED_FIN_F__SRR11531702	Gene	Cuculus_canorus	Female	Illumina
chr_W	21150813	21150909	0	054_CC_RED_FIN_F__SRR11531702	CDS2	Cuculus_canorus	Female	Illumina
chr_W	21177056	21177468	9.37	054_CC_RED_FIN_F__SRR11531702	CDS3	Cuculus_canorus	Female	Illumina
chr_3	25511697	25515677	8.11	062_CC_GRW_BGR_F__SRR11531718	Gene	Cuculus_canorus	Female	Illumina
chr_3	25512095	25512391	7.35	062_CC_GRW_BGR_F__SRR11531718	CDS1	Cuculus_canorus	Female	Illumina
chr_3	25514540	25514637	9.71	062_CC_GRW_BGR_F__SRR11531718	CDS2	Cuculus_canorus	Female	Illumina
chr_3	25515508	25515634	7.33	062_CC_GRW_BGR_F__SRR11531718	CDS3	Cuculus_canorus	Female	Illumina
chr_W	21149910	21149957	0	062_CC_GRW_BGR_F__SRR11531718	CDS1	Cuculus_canorus	Female	Illumina
chr_W	21149910	21177468	3.26	062_CC_GRW_BGR_F__SRR11531718	Gene	Cuculus_canorus	Female	Illumina
chr_W	21150813	21150909	0	062_CC_GRW_BGR_F__SRR11531718	CDS2	Cuculus_canorus	Female	Illumina
chr_W	21177056	21177468	5.82	062_CC_GRW_BGR_F__SRR11531718	CDS3	Cuculus_canorus	Female	Illumina
chr_3	25511697	25515677	6.07	064_CC_GRW_BGR_M__SRR11531726	Gene	Cuculus_canorus	Male	Illumina
chr_3	25512095	25512391	3.49	064_CC_GRW_BGR_M__SRR11531726	CDS1	Cuculus_canorus	Male	Illumina
chr_3	25514540	25514637	9.59	064_CC_GRW_BGR_M__SRR11531726	CDS2	Cuculus_canorus	Male	Illumina
chr_3	25515508	25515634	6.5	064_CC_GRW_BGR_M__SRR11531726	CDS3	Cuculus_canorus	Male	Illumina
