chr	start	end	Coverage	ID	Species	Object	Sex	Tech
chr_3	25511697	25515677	2.22	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	Gene	Female	Illumina
chr_3	25512095	25512391	3.42	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	CDS1	Female	Illumina
chr_3	25514540	25514637	2.96	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	CDS2	Female	Illumina
chr_3	25515508	25515634	2.55	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	CDS3	Female	Illumina
chr_W	21149910	21149957	0	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	CDS1	Female	Illumina
chr_W	21149910	21177468	0.97	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	Gene	Female	Illumina
chr_W	21150813	21150909	0	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	CDS2	Female	Illumina
chr_W	21177056	21177468	1.08	010_CC_RED_FIN_F__SRR11394165	Cuculus_canorus	CDS3	Female	Illumina
chr_3	25511697	25515677	2.56	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	Gene	Female	Illumina
chr_3	25512095	25512391	1.02	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	CDS1	Female	Illumina
chr_3	25514540	25514637	1.45	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	CDS2	Female	Illumina
chr_3	25515508	25515634	4.79	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	CDS3	Female	Illumina
chr_W	21149910	21149957	0	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	CDS1	Female	Illumina
chr_W	21149910	21177468	1.22	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	Gene	Female	Illumina
chr_W	21150813	21150909	0	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	CDS2	Female	Illumina
chr_W	21177056	21177468	4.1	054_CC_RED_FIN_F__SRR11531702	Cuculus_canorus	CDS3	Female	Illumina
