scaffold	start	end	mid	sites	lnL
chr_MT	5	897	488	100	-537.74689
chr_MT	898	1634	1241	100	-505.31058
chr_MT	1635	2255	1923	100	-530.34520
chr_MT	2256	2981	2688	100	-599.72525
chr_MT	2984	3512	3228	100	-583.49789
chr_MT	3513	4090	3748	100	-617.30646
chr_MT	4096	4537	4306	100	-558.84445
chr_MT	4549	5129	4858	100	-511.34476
chr_MT	5134	5893	5572	100	-535.37799
chr_MT	5896	6535	6220	100	-588.75855
chr_MT	6547	7260	6891	100	-586.68517
chr_MT	7270	8450	8102	100	-544.41025
chr_MT	8456	8947	8678	100	-559.96964
chr_MT	8950	9702	9332	100	-606.83318
chr_MT	9716	10305	10031	100	NA
chr_MT	10308	10995	10721	100	-624.33231
chr_MT	10998	11445	11219	100	-660.93867
chr_MT	11449	12285	11898	100	-627.65521
chr_MT	12300	12804	12542	100	-640.78074
chr_MT	12807	13351	13096	100	-755.18317
chr_MT	13353	13872	13597	100	-557.33274
chr_MT	13878	14529	14183	100	-700.22269
chr_MT	14556	15163	14970	100	-1070.82616
chr_MT	15165	15775	15420	100	-1078.46853
chr_MT	15780	18826	17577	100	-869.65555
chr_MT	18827	19261	19046	100	-615.95405
chr_MT	19270	19444	19368	43	-240.72812
chr_W	17262	27720	21525	100	NA
chr_W	28427	37019	34140	100	NA
chr_W	37060	47131	43015	100	NA
chr_W	47148	53530	50236	100	NA
chr_W	53552	54264	53933	100	-368.82835
chr_W	54273	56100	55029	100	-404.55096
chr_W	56106	64345	58455	100	-515.94650
chr_W	64346	76469	70848	100	-707.49320
chr_W	76488	78554	77397	100	-369.94513
chr_W	78645	80901	79915	100	-362.52319
chr_W	80920	82447	81685	100	-387.20321
chr_W	82484	84133	83239	100	-393.77263
chr_W	84154	86377	85306	100	-351.14651
chr_W	86415	88489	87475	100	-416.91574
chr_W	88490	90155	89338	100	-390.41567
chr_W	90178	95935	92368	100	-471.30450
chr_W	95954	97188	96547	100	-339.17020
chr_W	97191	99499	98706	100	-450.78995
chr_W	99518	126902	118724	100	-536.65394
chr_W	126925	129239	128433	100	-440.05211
chr_W	129245	130602	129893	100	-359.80726
chr_W	130604	132726	131782	100	-378.71045
chr_W	132756	134321	133571	100	-393.93547
chr_W	134360	135681	134963	100	-352.73199
chr_W	135684	137051	136380	100	-408.35096
chr_W	137052	143956	140814	100	-514.29936
chr_W	143980	146286	144607	100	-481.49942
chr_W	146296	147972	147217	100	-407.58031
chr_W	147976	149290	148562	100	-375.91605
chr_W	149348	154269	152310	100	-455.15959
chr_W	154275	155502	154962	100	-395.36123
chr_W	155511	158005	157123	100	-432.78231
chr_W	158009	159400	158660	100	-389.91227
chr_W	159401	161796	160538	100	-377.55694
chr_W	161810	164208	162944	100	-368.72882
chr_W	164229	170560	167543	100	NA
chr_W	170813	174449	173259	100	NA
chr_W	174456	176524	175563	100	NA
chr_W	176525	178875	177564	100	NA
chr_W	178881	183913	181920	100	-862.69206
chr_W	183914	191650	188738	100	-447.00332
chr_W	191661	193000	192505	100	-395.36014
chr_W	193031	194715	193908	100	-380.72432
chr_W	194730	195924	195377	100	-360.64963
chr_W	195958	197324	196785	100	-388.27879
chr_W	197325	199977	199118	100	-464.49713
chr_W	200015	204147	202289	100	-383.48530
chr_W	204361	213181	210122	100	-616.67531
chr_W	213184	219286	216197	100	-394.28252
chr_W	219474	221001	220301	100	-433.70091
chr_W	221005	231075	225324	100	-723.81123
chr_W	231085	289987	257536	100	-680.78078
chr_W	289995	294239	292362	100	-405.88306
chr_W	294247	295112	294680	100	-378.46276
chr_W	295118	296539	295743	100	-392.21997
chr_W	296543	311161	308682	100	-480.52761
chr_W	311186	317409	314069	100	NA
chr_W	317420	324800	320916	100	NA
chr_W	325164	333899	329254	100	NA
chr_W	333938	336496	335796	100	-461.90362
chr_W	336502	338319	337352	100	-388.84399
chr_W	338325	339749	339144	100	-433.77083
chr_W	339758	344772	341278	100	-430.96402
chr_W	344780	349303	347912	100	-524.19748
chr_W	349308	351055	350320	100	-402.38542
chr_W	351058	354469	352221	100	-411.09716
chr_W	354480	364905	360834	100	-676.66724
chr_W	364909	372907	366054	100	-416.53365
chr_W	372932	391124	377553	100	NA
chr_W	391154	397328	393729	100	NA
chr_W	397394	418484	409213	100	-1400.39206
chr_W	418491	440378	426065	100	-567.07532
