CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	GCO2__GCO3
chr_10	1	100000	996	-0.0131268	GCO2__GCO3
chr_10	100001	200000	1216	-0.0180019	GCO2__GCO3
chr_10	200001	300000	1383	-0.0117154	GCO2__GCO3
chr_10	300001	400000	1526	-0.00700658	GCO2__GCO3
chr_10	400001	500000	1921	-0.0254685	GCO2__GCO3
chr_10	500001	600000	1919	0.0271468	GCO2__GCO3
chr_10	600001	700000	2337	0.0150279	GCO2__GCO3
chr_10	700001	800000	1926	-0.00387551	GCO2__GCO3
chr_10	800001	900000	2200	0.0211056	GCO2__GCO3
chr_10	900001	1000000	2396	-0.00320415	GCO2__GCO3
chr_10	1000001	1100000	2573	-0.00105627	GCO2__GCO3
chr_10	1100001	1200000	2274	0.00287477	GCO2__GCO3
chr_10	1200001	1300000	2152	0.00628278	GCO2__GCO3
chr_10	1300001	1400000	2253	0.00545397	GCO2__GCO3
chr_10	1400001	1500000	2599	-0.00183376	GCO2__GCO3
chr_10	1500001	1600000	2793	-0.00831239	GCO2__GCO3
chr_10	1600001	1700000	2317	-0.00310557	GCO2__GCO3
chr_10	1700001	1800000	2171	0.00262318	GCO2__GCO3
chr_10	1800001	1900000	2057	-0.00549411	GCO2__GCO3
chr_10	1900001	2000000	2297	-0.000934631	GCO2__GCO3
chr_10	2000001	2100000	2432	0.0126352	GCO2__GCO3
chr_10	2100001	2200000	2328	0.00416491	GCO2__GCO3
chr_10	2200001	2300000	2288	-0.00702112	GCO2__GCO3
chr_10	2300001	2400000	2417	-0.000866194	GCO2__GCO3
chr_10	2400001	2500000	2387	-0.0157509	GCO2__GCO3
chr_10	2500001	2600000	2689	-0.00621497	GCO2__GCO3
chr_10	2600001	2700000	2033	0.000882929	GCO2__GCO3
chr_10	2700001	2800000	2550	-0.0114844	GCO2__GCO3
chr_10	2800001	2900000	2378	0.0232176	GCO2__GCO3
chr_10	2900001	3000000	2546	-0.000476756	GCO2__GCO3
chr_10	3000001	3100000	2151	0.0102744	GCO2__GCO3
chr_10	3100001	3200000	2310	0.00898079	GCO2__GCO3
chr_10	3200001	3300000	2318	0.000152241	GCO2__GCO3
chr_10	3300001	3400000	2365	0.0047796	GCO2__GCO3
chr_10	3400001	3500000	2786	0.00673249	GCO2__GCO3
chr_10	3500001	3600000	2777	0.00755683	GCO2__GCO3
chr_10	3600001	3700000	2466	-0.00512833	GCO2__GCO3
chr_10	3700001	3800000	2704	-0.0054474	GCO2__GCO3
chr_10	3800001	3900000	2559	-0.00434099	GCO2__GCO3
chr_10	3900001	4000000	2450	0.000803483	GCO2__GCO3
chr_10	4000001	4100000	2690	-0.00508002	GCO2__GCO3
chr_10	4100001	4200000	2452	-0.00606257	GCO2__GCO3
chr_10	4200001	4300000	2487	0.00058703	GCO2__GCO3
chr_10	4300001	4400000	2568	-0.0101009	GCO2__GCO3
chr_10	4400001	4500000	2732	-0.00518578	GCO2__GCO3
chr_10	4500001	4600000	2581	-0.00981714	GCO2__GCO3
chr_10	4600001	4700000	2549	0.00286242	GCO2__GCO3
chr_10	4700001	4800000	2877	-0.000186169	GCO2__GCO3
chr_10	4800001	4900000	2559	0.0118806	GCO2__GCO3
chr_10	4900001	5000000	2504	0.00919747	GCO2__GCO3
chr_10	5000001	5100000	2572	0.008098	GCO2__GCO3
chr_10	5100001	5200000	2461	0.0176569	GCO2__GCO3
chr_10	5200001	5300000	2468	0.00302736	GCO2__GCO3
chr_10	5300001	5400000	2412	-0.00527972	GCO2__GCO3
chr_10	5400001	5500000	2670	-0.00312961	GCO2__GCO3
chr_10	5500001	5600000	2019	0.00637894	GCO2__GCO3
chr_10	5600001	5700000	2332	-0.0039084	GCO2__GCO3
chr_10	5700001	5800000	1849	0.00447112	GCO2__GCO3
chr_10	5800001	5900000	2592	0.00437953	GCO2__GCO3
chr_10	5900001	6000000	2462	-0.00144045	GCO2__GCO3
chr_10	6000001	6100000	2822	-0.00250567	GCO2__GCO3
chr_10	6100001	6200000	3002	-0.00574719	GCO2__GCO3
chr_10	6200001	6300000	2764	-0.00549233	GCO2__GCO3
chr_10	6300001	6400000	2702	0.00654215	GCO2__GCO3
chr_10	6400001	6500000	2476	0.00151649	GCO2__GCO3
chr_10	6500001	6600000	2386	-0.00576418	GCO2__GCO3
chr_10	6600001	6700000	2715	0.00224668	GCO2__GCO3
